Entity,Code,Year,Consumption of Ozone-Depleting Substances - All
Argentina,ARG,2001,3841
Argentina,ARG,2002,2386
Argentina,ARG,2003,2835.5
Argentina,ARG,2004,2784.1
Argentina,ARG,2005,2208.6
Argentina,ARG,2006,2215.5
Argentina,ARG,2007,1199.7
Argentina,ARG,2008,654.8
Argentina,ARG,2009,395.4
Argentina,ARG,2010,780.8
Argentina,ARG,2011,831.16
Argentina,ARG,2012,855.29
Argentina,ARG,2013,497.7
Armenia,ARM,1989,0
Armenia,ARM,1991,0
Armenia,ARM,1995,201.8
Armenia,ARM,1996,196.5
Armenia,ARM,1997,191.2
Armenia,ARM,1998,185.9
Armenia,ARM,1999,9.8
Armenia,ARM,2000,25.7
Armenia,ARM,2001,164.4
Armenia,ARM,2002,174.4
Armenia,ARM,2003,174.4
Armenia,ARM,2004,114.6
Armenia,ARM,2005,87
Armenia,ARM,2006,62.8
Armenia,ARM,2007,29.4
Armenia,ARM,2008,18.4
Armenia,ARM,2009,24.9
Armenia,ARM,2010,7.1
Armenia,ARM,2011,7.5
Armenia,ARM,2012,5.67
Armenia,ARM,2013,4.54
Armenia,ARM,2014,3.15
Asia + Pacific,,1989,446934.3
Asia + Pacific,,1990,211206.9
Asia + Pacific,,1991,277404.6
Asia + Pacific,,1992,300265.9
Asia + Pacific,,1993,271444.2
Asia + Pacific,,1994,199695.7
Asia + Pacific,,1995,213362.6
Asia + Pacific,,1996,153008.6
Asia + Pacific,,1997,165216.5
Asia + Pacific,,1998,225850.4
Asia + Pacific,,1999,168315.2
Asia + Pacific,,2000,157349.6
Asia + Pacific,,2001,124753.1
Asia + Pacific,,2002,105325.6
Asia + Pacific,,2003,107628.2
Asia + Pacific,,2004,76641.2
Asia + Pacific,,2005,54106.8
Asia + Pacific,,2006,49882.8
Asia + Pacific,,2007,38833.2
Asia + Pacific,,2008,29669.8
Asia + Pacific,,2009,30417.5
Asia + Pacific,,2010,29457.8
Asia + Pacific,,2011,28425.45
Asia + Pacific,,2012,29124.45
Asia + Pacific,,2013,21592.75
Australia,AUS,1989,15300.8
Australia,AUS,1990,7434.4
Australia,AUS,1991,8147.8
Australia,AUS,1992,7017.5
Australia,AUS,1993,4615.7
Australia,AUS,1994,4242.1
Australia,AUS,1995,3120
Australia,AUS,1996,826.9
Australia,AUS,1997,602.9
Australia,AUS,1998,770.7
Australia,AUS,1999,831.9
Australia,AUS,2000,484.6
Australia,AUS,2001,360.8
Australia,AUS,2002,389.7
Australia,AUS,2003,278.9
Australia,AUS,2004,189.8
Australia,AUS,2005,171
Australia,AUS,2006,69.4
Australia,AUS,2007,86.6
Australia,AUS,2008,68.4
Australia,AUS,2009,57.2
Australia,AUS,2010,-6.4
Australia,AUS,2011,46.81
Australia,AUS,2012,-33.51
Australia,AUS,2013,48.62
Australia,AUS,2014,10.1
Australia + New Zealand,,1989,17545.7
Australia + New Zealand,,1990,8629.8
Australia + New Zealand,,1991,8984.4
Australia + New Zealand,,1992,7739.3
Australia + New Zealand,,1993,5474.8
Australia + New Zealand,,1994,4701.7
Australia + New Zealand,,1995,3442.9
Australia + New Zealand,,1996,925.6
Australia + New Zealand,,1997,682.8
Australia + New Zealand,,1998,820.2
Australia + New Zealand,,1999,900
Australia + New Zealand,,2000,503.8
Australia + New Zealand,,2001,393.2
Australia + New Zealand,,2002,432.5
Australia + New Zealand,,2003,314.2
Australia + New Zealand,,2004,222.4
Australia + New Zealand,,2005,219.6
Australia + New Zealand,,2006,109.6
Australia + New Zealand,,2007,119.9
Australia + New Zealand,,2008,86.2
Australia + New Zealand,,2009,74.7
Australia + New Zealand,,2010,5.2
Australia + New Zealand,,2011,58.31
Australia + New Zealand,,2012,-28.04
Australia + New Zealand,,2013,56.82
Australia + New Zealand,,2014,10.1
Austria,AUT,1989,6705.5
Austria,AUT,1990,2004.4
Austria,AUT,1991,1896.7
Austria,AUT,1992,1710.2
Austria,AUT,1993,641.1
Austria,AUT,1994,1000.9
Azerbaijan,AZE,1989,482.1
Azerbaijan,AZE,1991,2.8
Azerbaijan,AZE,1996,962.9
Azerbaijan,AZE,1997,227.5
Azerbaijan,AZE,1998,152.4
Azerbaijan,AZE,1999,100.7
Azerbaijan,AZE,2000,88.2
Azerbaijan,AZE,2001,52.1
Azerbaijan,AZE,2002,12.1
Azerbaijan,AZE,2003,10.2
Azerbaijan,AZE,2004,15.1
Azerbaijan,AZE,2005,21.9
Azerbaijan,AZE,2006,0.9
Azerbaijan,AZE,2007,0.8
Azerbaijan,AZE,2008,0.8
Azerbaijan,AZE,2009,3.5
Azerbaijan,AZE,2010,0.3
Azerbaijan,AZE,2011,7.63
Azerbaijan,AZE,2012,3.52
Azerbaijan,AZE,2013,1.76
Bahamas,BHS,1989,57.3
Bahamas,BHS,1991,0
Bahamas,BHS,1992,2.4
Bahamas,BHS,1993,65.8
Bahamas,BHS,1994,68.1
Bahamas,BHS,1995,69.9
Bahamas,BHS,1996,72
Bahamas,BHS,1997,54.8
Bahamas,BHS,1998,59.4
Bahamas,BHS,1999,60.4
Bahamas,BHS,2000,70.3
Bahamas,BHS,2001,68.9
Bahamas,BHS,2002,58.4
Bahamas,BHS,2003,35.1
Bahamas,BHS,2004,23.8
Bahamas,BHS,2005,18.6
Bahamas,BHS,2006,8.9
Bahamas,BHS,2007,5.8
Bahamas,BHS,2008,3.9
Bahamas,BHS,2009,3.5
Bahamas,BHS,2010,6.1
Bahamas,BHS,2011,3.05
Bahamas,BHS,2012,2.73
Bahamas,BHS,2013,2.72
Bahrain,BHR,1989,153.2
Bahrain,BHR,1990,178.8
Bahrain,BHR,1991,161.1
Bahrain,BHR,1992,230.8
Bahrain,BHR,1993,187
Bahrain,BHR,1994,200.9
Bahrain,BHR,1995,209.5
Bahrain,BHR,1996,234.2
Bahrain,BHR,1997,258.7
Bahrain,BHR,1998,221.1
Bahrain,BHR,1999,186.4
Bahrain,BHR,2000,178.2
Bahrain,BHR,2001,149.3
Bahrain,BHR,2002,138.1
Bahrain,BHR,2003,125.8
Bahrain,BHR,2004,85.3
Bahrain,BHR,2005,85.7
Bahrain,BHR,2006,61.1
Bahrain,BHR,2007,43.4
Bahrain,BHR,2008,50.5
Bahrain,BHR,2009,55.6
Bahrain,BHR,2010,58.7
Bahrain,BHR,2011,57.32
Bahrain,BHR,2012,75.59
Bahrain,BHR,2013,49.6
Bangladesh,BGD,1989,207.9
Bangladesh,BGD,1990,202.1
Bangladesh,BGD,1991,94.9
Bangladesh,BGD,1992,216.3
Bangladesh,BGD,1993,229.2
Bangladesh,BGD,1994,195.4
Bangladesh,BGD,1995,291.3
Bangladesh,BGD,1996,633.7
Bangladesh,BGD,1997,840.8
Bangladesh,BGD,1998,840.6
Bangladesh,BGD,1999,814.8
Bangladesh,BGD,2000,816.4
Bangladesh,BGD,2001,826.9
Bangladesh,BGD,2002,350.1
Bangladesh,BGD,2003,340.6
Bangladesh,BGD,2004,310.1
Bangladesh,BGD,2005,277.5
Bangladesh,BGD,2006,217.5
Bangladesh,BGD,2007,192.7
Bangladesh,BGD,2008,223.1
Bangladesh,BGD,2009,195.9
Bangladesh,BGD,2010,125.5
Bangladesh,BGD,2011,136.42
Bangladesh,BGD,2012,66.47
Bangladesh,BGD,2013,64.89
Barbados,BRB,1989,31.1
Barbados,BRB,1990,25.5
Barbados,BRB,1991,28.9
Barbados,BRB,1992,24.5
Barbados,BRB,1993,36.2
Barbados,BRB,1994,37
Barbados,BRB,1995,26.4
Barbados,BRB,1996,24.2
Barbados,BRB,1997,19.1
Barbados,BRB,1998,25.2
Barbados,BRB,1999,22.5
Barbados,BRB,2000,9.8
Barbados,BRB,2001,14.2
Barbados,BRB,2002,12.1
Barbados,BRB,2003,11.5
Barbados,BRB,2004,16.7
Barbados,BRB,2005,9.3
Barbados,BRB,2006,10.5
Barbados,BRB,2007,4.8
Barbados,BRB,2008,3.6
Barbados,BRB,2009,5.1
Barbados,BRB,2010,2.3
Barbados,BRB,2011,2.65
Barbados,BRB,2012,2.66
Barbados,BRB,2013,2.3
Barbados,BRB,2014,1.23
Belarus,BLR,1989,2024.7
Belarus,BLR,1990,1549
Belarus,BLR,1991,1445.9
Belarus,BLR,1992,1156.6
Belarus,BLR,1993,1156.2
Belarus,BLR,1994,1005.9
Belarus,BLR,1995,595.3
Belarus,BLR,1996,599.2
Belarus,BLR,1997,419.4
Belarus,BLR,1998,278.3
Belarus,BLR,1999,208.2
Belarus,BLR,2000,16.8
Belarus,BLR,2001,9.3
Belarus,BLR,2002,2.7
Belarus,BLR,2003,4.5
Belarus,BLR,2004,3.1
Belarus,BLR,2005,0.6
Belarus,BLR,2006,1.3
Belarus,BLR,2007,0.8
Belarus,BLR,2008,0.4
Belarus,BLR,2009,10.4
Belarus,BLR,2010,10
Belarus,BLR,2011,9.02
Belarus,BLR,2012,8.05
Belarus,BLR,2013,6.95
Belarus,BLR,2014,5.56
Belize,BLZ,1989,20.1
Belize,BLZ,1991,0
Belize,BLZ,1995,22.9
Belize,BLZ,1996,25
Belize,BLZ,1997,27.2
Belize,BLZ,1998,25.7
Belize,BLZ,1999,51.5
Belize,BLZ,2000,15.7
Belize,BLZ,2001,28.8
Belize,BLZ,2002,21.7
Belize,BLZ,2003,15.1
Belize,BLZ,2004,12.2
Belize,BLZ,2005,9.6
Belize,BLZ,2006,3.9
Belize,BLZ,2007,3.2
Belize,BLZ,2008,1.8
Belize,BLZ,2009,2.5
Belize,BLZ,2010,3.1
Belize,BLZ,2011,1.94
Belize,BLZ,2012,2.58
Belize,BLZ,2013,2.43
Belize,BLZ,2014,2.42
Benin,BEN,1989,83.4
Benin,BEN,1990,60.8
Benin,BEN,1991,40.3
Benin,BEN,1992,47
Benin,BEN,1993,48.8
Benin,BEN,1994,48.8
Benin,BEN,1995,73.5
Benin,BEN,1996,59
Benin,BEN,1997,60.3
Benin,BEN,1998,54.9
Benin,BEN,1999,57.3
Benin,BEN,2000,55.2
Benin,BEN,2001,54.5
Benin,BEN,2002,36
Benin,BEN,2003,17.8
Benin,BEN,2004,11.8
Benin,BEN,2005,10.3
Benin,BEN,2006,32.6
Benin,BEN,2007,27.9
Benin,BEN,2008,26.9
Benin,BEN,2009,27.1
Benin,BEN,2010,24
Benin,BEN,2011,23.75
Benin,BEN,2012,23.3
Benin,BEN,2013,22.15
Bhutan,BTN,1989,0
Bhutan,BTN,1991,0
Bhutan,BTN,1995,0.1
Bhutan,BTN,1996,0.2
Bhutan,BTN,1997,1
Bhutan,BTN,1998,0
Bhutan,BTN,1999,0
Bhutan,BTN,2000,0
Bhutan,BTN,2004,0.1
Bhutan,BTN,2005,0.1
Bhutan,BTN,2006,0.1
Bhutan,BTN,2007,0.1
Bhutan,BTN,2008,0.1
Bhutan,BTN,2009,0.3
Bhutan,BTN,2010,0.3
Bhutan,BTN,2011,0.28
Bhutan,BTN,2012,0.31
Bhutan,BTN,2013,0.28
Bhutan,BTN,2014,0.25
Bolivia,BOL,1989,22.6
Bolivia,BOL,1991,15.9
Bolivia,BOL,1994,76.7
Bolivia,BOL,1995,82.3
Bolivia,BOL,1996,92.5
Bolivia,BOL,1997,60.7
Bolivia,BOL,1998,77.1
Bolivia,BOL,1999,74.2
Bolivia,BOL,2000,80.7
Bolivia,BOL,2001,80.2
Bolivia,BOL,2002,67.4
Bolivia,BOL,2003,35.2
Bolivia,BOL,2004,45.8
Bolivia,BOL,2005,29.6
Bolivia,BOL,2006,36.4
Bolivia,BOL,2007,6.6
Bolivia,BOL,2008,8.6
Bolivia,BOL,2009,4.4
Bolivia,BOL,2010,7.7
Bolivia,BOL,2011,7.5
Bolivia,BOL,2012,6.79
Bolivia,BOL,2013,0.37
Bosnia and Herzegovina,BIH,1989,245.6
Bosnia and Herzegovina,BIH,1990,14
Bosnia and Herzegovina,BIH,1991,159.3
Bosnia and Herzegovina,BIH,1992,22.5
Bosnia and Herzegovina,BIH,1993,18
Bosnia and Herzegovina,BIH,1994,9.9
Bosnia and Herzegovina,BIH,1995,9.5
Bosnia and Herzegovina,BIH,1996,29
Bosnia and Herzegovina,BIH,1997,65.3
Bosnia and Herzegovina,BIH,1998,50.3
Bosnia and Herzegovina,BIH,1999,159.4
Bosnia and Herzegovina,BIH,2000,185
Bosnia and Herzegovina,BIH,2001,214.3
Bosnia and Herzegovina,BIH,2002,259.2
Bosnia and Herzegovina,BIH,2003,247.6
Bosnia and Herzegovina,BIH,2004,202.1
Bosnia and Herzegovina,BIH,2005,61.7
Bosnia and Herzegovina,BIH,2006,36.6
Bosnia and Herzegovina,BIH,2007,27.6
Bosnia and Herzegovina,BIH,2008,16.4
Bosnia and Herzegovina,BIH,2009,5.8
Bosnia and Herzegovina,BIH,2010,3.5
Bosnia and Herzegovina,BIH,2011,3.35
Bosnia and Herzegovina,BIH,2012,4.06
Bosnia and Herzegovina,BIH,2013,5.13
Bosnia and Herzegovina,BIH,2014,3.37
Botswana,BWA,1989,6.3
Botswana,BWA,1991,0
Botswana,BWA,1992,21.6
Botswana,BWA,1993,36.8
Botswana,BWA,1994,10.8
Botswana,BWA,1995,15.3
Botswana,BWA,1996,6.7
Botswana,BWA,1997,17.3
Botswana,BWA,1998,2.6
Botswana,BWA,1999,2.6
Botswana,BWA,2000,6.6
Botswana,BWA,2001,10.7
Botswana,BWA,2002,10.2
Botswana,BWA,2003,8.2
Botswana,BWA,2004,5.6
Botswana,BWA,2005,5.3
Botswana,BWA,2006,7.9
Botswana,BWA,2007,11.1
Botswana,BWA,2008,13.6
Botswana,BWA,2009,11
Botswana,BWA,2010,11
Botswana,BWA,2011,10.89
Botswana,BWA,2012,10.84
Botswana,BWA,2013,10.84
Brazil,BRA,1989,23869.3
Brazil,BRA,1990,39337.3
Brazil,BRA,1991,9246
Brazil,BRA,1992,26560.4
Brazil,BRA,1993,32578.2
Brazil,BRA,1994,11572.3
Brazil,BRA,1995,13213.5
Brazil,BRA,1996,11518.5
Brazil,BRA,1997,4568.6
Brazil,BRA,1998,10419.7
Brazil,BRA,1999,13125.9
Brazil,BRA,2000,11375.7
Brazil,BRA,2001,7412.2
Brazil,BRA,2002,3589.4
Brazil,BRA,2003,4485.4
Brazil,BRA,2004,3150.4
Brazil,BRA,2005,2076.9
Brazil,BRA,2006,1335.5
Brazil,BRA,2007,1508.6
Brazil,BRA,2008,1305.4
Brazil,BRA,2009,1462.4
Brazil,BRA,2010,1207.2
Brazil,BRA,2011,1046.4
Brazil,BRA,2012,1387.87
Brazil,BRA,2013,1189.25
Brazil,BRA,2014,1164.74
Brunei,BRN,1989,66.6
Brunei,BRN,1991,0
Brunei,BRN,1992,60.9
Brunei,BRN,1993,83.3
Brunei,BRN,1994,65.7
Brunei,BRN,1995,67.3
Brunei,BRN,1996,81.8
Brunei,BRN,1997,92.5
Brunei,BRN,1998,65
Brunei,BRN,1999,37.7
Brunei,BRN,2000,47.8
Brunei,BRN,2001,33.1
Brunei,BRN,2002,46.3
Brunei,BRN,2003,33.7
Brunei,BRN,2004,63.3
Brunei,BRN,2005,41.6
Brunei,BRN,2006,28.6
Brunei,BRN,2007,10.4
Brunei,BRN,2008,7.6
Brunei,BRN,2009,5.8
Brunei,BRN,2010,6.9
Brunei,BRN,2011,8.08
Brunei,BRN,2012,5.9
Brunei,BRN,2013,4.27
Brunei,BRN,2014,4
Bulgaria,BGR,1989,2950.4
Bulgaria,BGR,1990,2353.6
Bulgaria,BGR,1991,1957.1
Bulgaria,BGR,1992,1617.6
Bulgaria,BGR,1993,735.6
Bulgaria,BGR,1994,739.7
Bulgaria,BGR,1995,372.1
Bulgaria,BGR,1996,17.7
Bulgaria,BGR,1997,1.6
Bulgaria,BGR,1998,39
Bulgaria,BGR,1999,41.8
Bulgaria,BGR,2000,19.7
Bulgaria,BGR,2001,22.7
Bulgaria,BGR,2002,23.8
Bulgaria,BGR,2003,13.1
Bulgaria,BGR,2004,16.5
Bulgaria,BGR,2005,15.6
Bulgaria,BGR,2006,10.6
Burkina Faso,BFA,1989,29.9
Burkina Faso,BFA,1990,31.3
Burkina Faso,BFA,1991,32.8
Burkina Faso,BFA,1992,40
Burkina Faso,BFA,1993,41.7
Burkina Faso,BFA,1994,37.5
Burkina Faso,BFA,1995,45.3
Burkina Faso,BFA,1996,41.8
Burkina Faso,BFA,1997,37.6
Burkina Faso,BFA,1998,37
Burkina Faso,BFA,1999,30.6
Burkina Faso,BFA,2000,34.9
Burkina Faso,BFA,2001,29.9
Burkina Faso,BFA,2002,27.9
Burkina Faso,BFA,2003,25
Burkina Faso,BFA,2004,24.6
Burkina Faso,BFA,2005,22.4
Burkina Faso,BFA,2006,21.6
Burkina Faso,BFA,2007,23
Burkina Faso,BFA,2008,23.3
Burkina Faso,BFA,2009,26.7
Burkina Faso,BFA,2010,31
Burkina Faso,BFA,2011,27.93
Burkina Faso,BFA,2012,26.59
Burkina Faso,BFA,2013,14.88
Burkina Faso,BFA,2014,12.38
Burundi,BDI,1989,40.3
Burundi,BDI,1990,43
Burundi,BDI,1991,45.6
Burundi,BDI,1992,48.2
Burundi,BDI,1995,56.2
Burundi,BDI,1996,58.8
Burundi,BDI,1997,62
Burundi,BDI,1998,64.5
Burundi,BDI,1999,59.7
Burundi,BDI,2000,53.9
Burundi,BDI,2001,46.6
Burundi,BDI,2002,19.2
Burundi,BDI,2003,9.2
Burundi,BDI,2004,4.9
Burundi,BDI,2005,8.5
Burundi,BDI,2006,8.9
Burundi,BDI,2007,8.9
Burundi,BDI,2008,7.3
Burundi,BDI,2009,7.3
Burundi,BDI,2010,7.4
Burundi,BDI,2011,6.99
Burundi,BDI,2012,6.99
Burundi,BDI,2013,7.11
Burundi,BDI,2014,6.82
Cambodia,KHM,1989,2.8
Cambodia,KHM,1991,0
Cambodia,KHM,1995,97
Cambodia,KHM,1996,97
Cambodia,KHM,1997,97
Cambodia,KHM,1998,97
Cambodia,KHM,1999,97
Cambodia,KHM,2000,97
Cambodia,KHM,2001,97
Cambodia,KHM,2002,97
Cambodia,KHM,2003,89.9
Cambodia,KHM,2004,74.6
Cambodia,KHM,2005,50.8
Cambodia,KHM,2006,34.6
Cambodia,KHM,2007,19.9
Cambodia,KHM,2008,9.3
Cambodia,KHM,2009,17.1
Cambodia,KHM,2010,12.8
Cambodia,KHM,2011,13.71
Cambodia,KHM,2012,10.12
Cambodia,KHM,2013,9.47
Cambodia,KHM,2014,11.19
Cameroon,CMR,1989,113.5
Cameroon,CMR,1990,125.1
Cameroon,CMR,1991,118.6
Cameroon,CMR,1992,103.1
Cameroon,CMR,1993,213.7
Cameroon,CMR,1994,213.7
Cameroon,CMR,1995,282.6
Cameroon,CMR,1996,333.5
Cameroon,CMR,1997,285.3
Cameroon,CMR,1998,337.6
Cameroon,CMR,1999,403.7
Cameroon,CMR,2000,408.9
Cameroon,CMR,2001,403.8
Cameroon,CMR,2002,261.7
Cameroon,CMR,2003,233.6
Cameroon,CMR,2004,160
Cameroon,CMR,2005,141
Cameroon,CMR,2006,128.7
Cameroon,CMR,2007,42.7
Cameroon,CMR,2008,36.1
Cameroon,CMR,2009,102.7
Cameroon,CMR,2010,67.4
Cameroon,CMR,2011,65.78
Cameroon,CMR,2012,62.78
Cameroon,CMR,2013,82.34
Canada,CAN,1989,29434.6
Canada,CAN,1990,9917.9
Canada,CAN,1991,9285.4
Canada,CAN,1992,8642
Canada,CAN,1993,4533.2
Canada,CAN,1994,4050.2
Canada,CAN,1995,4808.6
Canada,CAN,1996,952.1
Canada,CAN,1997,1012.5
Canada,CAN,1998,935.5
Canada,CAN,1999,873.6
Canada,CAN,2000,953.1
Canada,CAN,2001,924.8
Canada,CAN,2002,923.1
Canada,CAN,2003,832.6
Canada,CAN,2004,602.8
Canada,CAN,2005,594.1
Canada,CAN,2006,576.4
Canada,CAN,2007,559.4
Canada,CAN,2008,509.9
Canada,CAN,2009,274.4
Canada,CAN,2010,65.2
Canada,CAN,2011,57.93
Canada,CAN,2012,61.83
Canada,CAN,2013,65.91
Canada,CAN,2014,54.25
Cape Verde,CPV,1989,2.1
Cape Verde,CPV,1990,2.2
Cape Verde,CPV,1991,2.1
Cape Verde,CPV,1992,2.2
Cape Verde,CPV,1993,2.3
Cape Verde,CPV,1994,2.3
Cape Verde,CPV,1995,2.4
Cape Verde,CPV,1996,2.3
Cape Verde,CPV,1997,2.2
Cape Verde,CPV,1998,2.1
Cape Verde,CPV,1999,2
Cape Verde,CPV,2000,1.9
Cape Verde,CPV,2001,1.9
Cape Verde,CPV,2002,1.8
Cape Verde,CPV,2003,1.8
Cape Verde,CPV,2004,1.5
Cape Verde,CPV,2005,0.9
Cape Verde,CPV,2006,0.2
Cape Verde,CPV,2007,0.2
Cape Verde,CPV,2008,0.2
Cape Verde,CPV,2009,1.8
Cape Verde,CPV,2010,0.3
Cape Verde,CPV,2011,0.28
Cape Verde,CPV,2012,0.23
Cape Verde,CPV,2013,0.17
Cape Verde,CPV,2014,0.17
Caribbean,,1989,2504
Caribbean,,1991,1433.8
Caribbean,,1995,2003.6
Caribbean,,1996,1995
Caribbean,,1997,1882.6
Caribbean,,1998,1688.3
Caribbean,,1999,1952.7
Caribbean,,2000,1669.3
Caribbean,,2001,1627.5
Caribbean,,2002,1356
Caribbean,,2003,1110.9
Caribbean,,2004,1117.7
Caribbean,,2005,683.9
Caribbean,,2006,654.7
Caribbean,,2007,248.5
Caribbean,,2008,219.5
Caribbean,,2009,162.82
Caribbean,,2010,161.32
Caribbean,,2011,117.47
Caribbean,,2012,164.7
Caribbean,,2013,98.78
Central Africa,,1989,233.7
Central Africa,,1991,346.7
Central Africa,,1995,1647.7
Central Africa,,1996,1432.9
Central Africa,,1997,1000.2
Central Africa,,1998,1385.7
Central Africa,,1999,920.5
Central Africa,,2000,1003.3
Central Africa,,2001,1663.5
Central Africa,,2002,1425.3
Central Africa,,2003,913
Central Africa,,2004,578.7
Central Africa,,2005,499
Central Africa,,2006,395.6
Central Africa,,2007,164.9
Central Africa,,2008,138.7
Central Africa,,2009,251.22
