,Entity,Year,Total GHG
71,Algeria,2007,153160000.0
72,Algeria,2008,157230000.0
73,Algeria,2009,166450000.0
74,Algeria,2010,167180000.0
75,Algeria,2011,179590000.0
76,Algeria,2012,189600000.0
77,Algeria,2013,193450000.0
78,Algeria,2014,203810000.0
81,Andorra,1990,410000.0
82,Andorra,1991,410000.0
83,Andorra,1992,410000.0
84,Andorra,1993,420000.0
85,Andorra,1994,420000.0
86,Andorra,1995,440000.0
87,Andorra,1996,470000.0
88,Andorra,1997,490000.0
89,Andorra,1998,520000.0
90,Andorra,1999,550000.0
91,Andorra,2000,570000.0
92,Andorra,2001,560000.0
93,Andorra,2002,580000.0
94,Andorra,2003,580000.0
95,Andorra,2004,610000.0
96,Andorra,2005,630000.0
97,Andorra,2006,600000.0
98,Andorra,2007,600000.0
99,Andorra,2008,600000.0
100,Andorra,2009,580000.0
101,Andorra,2010,590000.0
102,Andorra,2011,580000.0
103,Andorra,2012,580000.0
104,Andorra,2013,570000.0
105,Andorra,2014,550000.0
108,Angola,1990,150590000.0
109,Angola,1991,151270000.0
110,Angola,1992,151620000.0
111,Angola,1993,152370000.0
112,Angola,1994,152560000.0
113,Angola,1995,156890000.0
114,Angola,1996,161390000.0
115,Angola,1997,155980000.0
116,Angola,1998,170050000.0
117,Angola,1999,161940000.0
118,Angola,2000,161840000.0
119,Angola,2001,143580000.0
120,Angola,2002,164500000.0
121,Angola,2003,181040000.0
122,Angola,2004,193160000.0
123,Angola,2005,191800000.0
124,Angola,2006,165860000.0
125,Angola,2007,196180000.0
126,Angola,2008,173970000.0
127,Angola,2009,180680000.0
128,Angola,2010,186780000.0
129,Angola,2011,220880000.0
130,Angola,2012,185500000.0
131,Angola,2013,202250000.0
132,Angola,2014,183480000.0
135,Antigua and Barbuda,1990,410000.0
136,Antigua and Barbuda,1991,410000.0
137,Antigua and Barbuda,1992,410000.0
138,Antigua and Barbuda,1993,430000.0
139,Antigua and Barbuda,1994,430000.0
140,Antigua and Barbuda,1995,450000.0
141,Antigua and Barbuda,1996,480000.0
142,Antigua and Barbuda,1997,520000.0
143,Antigua and Barbuda,1998,540000.0
144,Antigua and Barbuda,1999,570000.0
145,Antigua and Barbuda,2000,610000.0
146,Antigua and Barbuda,2001,650000.0
147,Antigua and Barbuda,2002,690000.0
148,Antigua and Barbuda,2003,740000.0
149,Antigua and Barbuda,2004,780000.0
150,Antigua and Barbuda,2005,810000.0
151,Antigua and Barbuda,2006,960000.0
152,Antigua and Barbuda,2007,1020000.0
153,Antigua and Barbuda,2008,1070000.0
154,Antigua and Barbuda,2009,1140000.0
155,Antigua and Barbuda,2010,1170000.0
156,Antigua and Barbuda,2011,1080000.0
157,Antigua and Barbuda,2012,1100000.0
158,Antigua and Barbuda,2013,1110000.0
159,Antigua and Barbuda,2014,1130000.0
162,Argentina,1990,329740000.0
163,Argentina,1991,334380000.0
164,Argentina,1992,338740000.0
165,Argentina,1993,338810000.0
166,Argentina,1994,348840000.0
167,Argentina,1995,351330000.0
168,Argentina,1996,351400000.0
169,Argentina,1997,356310000.0
170,Argentina,1998,359590000.0
171,Argentina,1999,367050000.0
172,Argentina,2000,366340000.0
173,Argentina,2001,383270000.0
174,Argentina,2002,386170000.0
175,Argentina,2003,408490000.0
176,Argentina,2004,436710000.0
177,Argentina,2005,428510000.0
178,Argentina,2006,462740000.0
179,Argentina,2007,465580000.0
180,Argentina,2008,482380000.0
181,Argentina,2009,469510000.0
182,Argentina,2010,451700000.0
183,Argentina,2011,460120000.0
184,Argentina,2012,478030000.0
185,Argentina,2013,466520000.0
186,Argentina,2014,467820000.0
189,Armenia,1990,24390000.0
190,Armenia,1991,25080000.0
191,Armenia,1992,14850000.0
192,Armenia,1993,8680000.0
193,Armenia,1994,6230000.0
194,Armenia,1995,6800000.0
195,Armenia,1996,5680000.0
196,Armenia,1997,6410000.0
197,Armenia,1998,6340000.0
198,Armenia,1999,5750000.0
199,Armenia,2000,6130000.0
200,Armenia,2001,6300000.0
201,Armenia,2002,5920000.0
202,Armenia,2003,6370000.0
203,Armenia,2004,6780000.0
204,Armenia,2005,7430000.0
205,Armenia,2006,7950000.0
206,Armenia,2007,8570000.0
207,Armenia,2008,9140000.0
208,Armenia,2009,8050000.000000001
209,Armenia,2010,7830000.0
210,Armenia,2011,8260000.0
211,Armenia,2012,9180000.0
212,Armenia,2013,9130000.0
213,Armenia,2014,9110000.0
216,Australia,1990,511200000.0
217,Australia,1991,511080000.0
218,Australia,1992,513320000.00000006
219,Australia,1993,513000000.0
220,Australia,1994,516030000.0
221,Australia,1995,524110000.0
222,Australia,1996,517130000.0
223,Australia,1997,528170000.0
224,Australia,1998,554160000.0
225,Australia,1999,589370000.0
226,Australia,2000,608160000.0
227,Australia,2001,700990000.0
228,Australia,2002,688480000.0
229,Australia,2003,620390000.0
230,Australia,2004,664400000.0
231,Australia,2005,622460000.0
232,Australia,2006,637390000.0
233,Australia,2007,628770000.0
234,Australia,2008,597420000.0
235,Australia,2009,617920000.0
236,Australia,2010,579140000.0
237,Australia,2011,617790000.0
238,Australia,2012,617860000.0
239,Australia,2013,529260000.0
240,Australia,2014,537950000.0
243,Austria,1990,64220000.0
244,Austria,1991,68450000.0
245,Austria,1992,62720000.0
246,Austria,1993,62630000.0
247,Austria,1994,62710000.0
248,Austria,1995,65120000.00000001
249,Austria,1996,68920000.0
250,Austria,1997,67910000.0
251,Austria,1998,67880000.0
252,Austria,1999,65980000.00000001
253,Austria,2000,66220000.0
254,Austria,2001,75320000.0
255,Austria,2002,77000000.0
256,Austria,2003,82930000.0
257,Austria,2004,82530000.0
258,Austria,2005,82420000.0
259,Austria,2006,82820000.0
260,Austria,2007,80370000.0
261,Austria,2008,80160000.0
262,Austria,2009,72870000.0
263,Austria,2010,78380000.0
264,Austria,2011,75850000.0
265,Austria,2012,73200000.0
266,Austria,2013,73790000.0
267,Austria,2014,70160000.0
270,Azerbaijan,1990,75560000.0
271,Azerbaijan,1991,84610000.0
272,Azerbaijan,1992,60830000.0
273,Azerbaijan,1993,69050000.0
274,Azerbaijan,1994,62500000.0
275,Azerbaijan,1995,60460000.0
276,Azerbaijan,1996,55820000.0
277,Azerbaijan,1997,55910000.0
278,Azerbaijan,1998,56760000.0
279,Azerbaijan,1999,57060000.0
280,Azerbaijan,2000,59130000.0
281,Azerbaijan,2001,59660000.0
282,Azerbaijan,2002,60600000.0
283,Azerbaijan,2003,58280000.0
284,Azerbaijan,2004,59580000.0
285,Azerbaijan,2005,63560000.0
286,Azerbaijan,2006,60100000.0
287,Azerbaijan,2007,58760000.0
288,Azerbaijan,2008,66319999.99999999
289,Azerbaijan,2009,67230000.0
290,Azerbaijan,2010,71510000.0
291,Azerbaijan,2011,74010000.0
292,Azerbaijan,2012,75300000.0
293,Azerbaijan,2013,74980000.0
294,Azerbaijan,2014,75230000.0
297,Bahamas,1990,810000.0
298,Bahamas,1991,640000.0
299,Bahamas,1992,650000.0
300,Bahamas,1993,560000.0
301,Bahamas,1994,550000.0
302,Bahamas,1995,550000.0
303,Bahamas,1996,540000.0
304,Bahamas,1997,240000.0
305,Bahamas,1998,580000.0
306,Bahamas,1999,570000.0
307,Bahamas,2000,590000.0
308,Bahamas,2001,890000.0
309,Bahamas,2002,950000.0
310,Bahamas,2003,830000.0
311,Bahamas,2004,1250000.0
312,Bahamas,2005,1190000.0
313,Bahamas,2006,6940000.0
314,Bahamas,2007,6950000.0
315,Bahamas,2008,6860000.0
316,Bahamas,2009,6950000.0
317,Bahamas,2010,6930000.0
318,Bahamas,2011,2770000.0
319,Bahamas,2012,2710000.0
320,Bahamas,2013,3750000.0
321,Bahamas,2014,3190000.0
324,Bahrain,1990,14080000.0
325,Bahrain,1991,13770000.0
326,Bahrain,1992,15800000.0
327,Bahrain,1993,16690000.000000002
328,Bahrain,1994,17140000.0
329,Bahrain,1995,18000000.0
330,Bahrain,1996,19350000.0
331,Bahrain,1997,20280000.0
332,Bahrain,1998,22150000.0
333,Bahrain,1999,22860000.0
334,Bahrain,2000,23980000.0
335,Bahrain,2001,24890000.0
336,Bahrain,2002,26020000.0
337,Bahrain,2003,27060000.0
338,Bahrain,2004,27380000.0
339,Bahrain,2005,30490000.0
340,Bahrain,2006,32930000.0
341,Bahrain,2007,34060000.0
342,Bahrain,2008,36410000.0
343,Bahrain,2009,37030000.0
344,Bahrain,2010,38960000.0
345,Bahrain,2011,39680000.0
346,Bahrain,2012,40880000.0
347,Bahrain,2013,43760000.0
348,Bahrain,2014,45900000.0
351,Bangladesh,1990,116290000.0
352,Bangladesh,1991,116540000.0
353,Bangladesh,1992,118340000.0
354,Bangladesh,1993,119610000.0
355,Bangladesh,1994,122080000.0
356,Bangladesh,1995,127090000.0
357,Bangladesh,1996,127080000.0
358,Bangladesh,1997,129320000.0
359,Bangladesh,1998,129470000.0
360,Bangladesh,1999,133780000.0
361,Bangladesh,2000,136200000.0
362,Bangladesh,2001,140360000.0
363,Bangladesh,2002,143710000.0
364,Bangladesh,2003,145520000.0
365,Bangladesh,2004,148320000.0
366,Bangladesh,2005,151840000.0
367,Bangladesh,2006,147640000.0
368,Bangladesh,2007,149920000.0
369,Bangladesh,2008,160830000.0
370,Bangladesh,2009,164160000.0
371,Bangladesh,2010,174160000.0
372,Bangladesh,2011,187090000.0
373,Bangladesh,2012,190020000.0
374,Bangladesh,2013,194460000.0
375,Bangladesh,2014,199600000.0
378,Barbados,1990,3180000.0
379,Barbados,1991,3350000.0
380,Barbados,1992,3160000.0
381,Barbados,1993,3340000.0
382,Barbados,1994,3010000.0
383,Barbados,1995,3100000.0
384,Barbados,1996,3140000.0
385,Barbados,1997,3190000.0
386,Barbados,1998,3440000.0
387,Barbados,1999,3520000.0
388,Barbados,2000,3510000.0
389,Barbados,2001,3550000.0
390,Barbados,2002,3540000.0
391,Barbados,2003,3580000.0
392,Barbados,2004,3620000.0
393,Barbados,2005,3670000.0
394,Barbados,2006,3760000.0
395,Barbados,2007,3770000.0
396,Barbados,2008,4040000.0
397,Barbados,2009,4040000.0
398,Barbados,2010,3950000.0
399,Barbados,2011,3930000.0
400,Barbados,2012,3930000.0
401,Barbados,2013,3930000.0
402,Barbados,2014,3750000.0
405,Belarus,1990,126040000.0
406,Belarus,1991,120890000.0
407,Belarus,1992,107740000.0
408,Belarus,1993,94950000.0
409,Belarus,1994,81860000.0
410,Belarus,1995,73840000.0
411,Belarus,1996,73340000.0
412,Belarus,1997,73670000.0
413,Belarus,1998,71730000.0
414,Belarus,1999,69410000.0
415,Belarus,2000,66680000.00000001
416,Belarus,2001,58020000.0
417,Belarus,2002,64650000.00000001
418,Belarus,2003,60280000.0
419,Belarus,2004,61440000.0
420,Belarus,2005,62510000.0
421,Belarus,2006,58370000.0
422,Belarus,2007,55540000.0
423,Belarus,2008,59680000.0
424,Belarus,2009,57120000.0
425,Belarus,2010,61380000.0
426,Belarus,2011,84510000.0
427,Belarus,2012,88330000.0
428,Belarus,2013,87040000.0
429,Belarus,2014,88040000.0
432,Belgium,1990,126700000.0
433,Belgium,1991,131760000.0
434,Belgium,1992,129880000.0
435,Belgium,1993,127920000.0
436,Belgium,1994,133380000.0
437,Belgium,1995,133460000.0
438,Belgium,1996,138900000.0
439,Belgium,1997,135570000.0
440,Belgium,1998,138180000.0
441,Belgium,1999,134260000.0
442,Belgium,2000,134840000.0
443,Belgium,2001,135090000.0
444,Belgium,2002,127830000.0
445,Belgium,2003,131300000.0
446,Belgium,2004,129950000.0
447,Belgium,2005,125900000.0
448,Belgium,2006,123680000.0
449,Belgium,2007,119450000.0
450,Belgium,2008,121290000.0
451,Belgium,2009,114360000.0
452,Belgium,2010,121560000.0
453,Belgium,2011,109550000.0
454,Belgium,2012,108860000.0
455,Belgium,2013,109670000.0
456,Belgium,2014,103620000.0
459,Belize,1990,13210000.0
460,Belize,1991,13370000.0
461,Belize,1992,13520000.0
462,Belize,1993,13640000.0
463,Belize,1994,13760000.0
464,Belize,1995,12670000.0
465,Belize,1996,9750000.0
466,Belize,1997,8530000.0
467,Belize,1998,7790000.0
468,Belize,1999,6610000.0
469,Belize,2000,5580000.0
470,Belize,2001,7130000.0
471,Belize,2002,9570000.0
472,Belize,2003,10170000.0
473,Belize,2004,6880000.0
474,Belize,2005,9280000.0
475,Belize,2006,7520000.0
476,Belize,2007,9800000.0
477,Belize,2008,8359999.999999999
478,Belize,2009,7130000.0
479,Belize,2010,9290000.0
480,Belize,2011,7190000.0
481,Belize,2012,3310000.0
482,Belize,2013,7640000.0
483,Belize,2014,3580000.0
486,Benin,1990,19990000.0
487,Benin,1991,20080000.0
488,Benin,1992,20190000.0
489,Benin,1993,20310000.0
490,Benin,1994,20590000.0
491,Benin,1995,20440000.0
492,Benin,1996,21920000.0
493,Benin,1997,22250000.0
494,Benin,1998,23320000.0
495,Benin,1999,23070000.0
496,Benin,2000,23310000.0
497,Benin,2001,18460000.0
498,Benin,2002,19700000.0
499,Benin,2003,19550000.0
500,Benin,2004,19450000.0
501,Benin,2005,20920000.0
502,Benin,2006,21400000.0
503,Benin,2007,22490000.0
504,Benin,2008,22040000.0
505,Benin,2009,22850000.0
506,Benin,2010,23480000.0
507,Benin,2011,23680000.0
508,Benin,2012,23620000.0
509,Benin,2013,24070000.0
510,Benin,2014,24570000.0
513,Bhutan,1990,-2930000.0
514,Bhutan,1991,-2870000.0
515,Bhutan,1992,-2880000.0
516,Bhutan,1993,-2910000.0
517,Bhutan,1994,-2880000.0
518,Bhutan,1995,-2790000.0
519,Bhutan,1996,-2790000.0
520,Bhutan,1997,-2690000.0
521,Bhutan,1998,-2680000.0
522,Bhutan,1999,-2620000.0
523,Bhutan,2000,-2670000.0
524,Bhutan,2001,-3020000.0
525,Bhutan,2002,-3000000.0
526,Bhutan,2003,-3030000.0
527,Bhutan,2004,-3070000.0
528,Bhutan,2005,-2890000.0
529,Bhutan,2006,-1450000.0
530,Bhutan,2007,-1330000.0
531,Bhutan,2008,-1470000.0
532,Bhutan,2009,-1460000.0
533,Bhutan,2010,-1260000.0
534,Bhutan,2011,-1990000.0
535,Bhutan,2012,-1770000.0
536,Bhutan,2013,-1820000.0
537,Bhutan,2014,-1720000.0
540,Bolivia,1990,110130000.0
541,Bolivia,1991,110850000.0
542,Bolivia,1992,112650000.0
543,Bolivia,1993,114350000.0
544,Bolivia,1994,116410000.0
545,Bolivia,1995,116030000.0
546,Bolivia,1996,112440000.0
547,Bolivia,1997,113360000.0
548,Bolivia,1998,114500000.0
549,Bolivia,1999,120000000.0
550,Bolivia,2000,110950000.0
551,Bolivia,2001,109950000.0
552,Bolivia,2002,118540000.0
553,Bolivia,2003,114410000.0
554,Bolivia,2004,133000000.0
555,Bolivia,2005,128550000.0
556,Bolivia,2006,133330000.0
557,Bolivia,2007,142360000.0
558,Bolivia,2008,135580000.0
559,Bolivia,2009,133100000.0
560,Bolivia,2010,169750000.0
561,Bolivia,2011,142710000.0
562,Bolivia,2012,138620000.0
563,Bolivia,2013,137590000.0
564,Bolivia,2014,138600000.0
567,Bosnia and Herzegovina,1990,22240000.0
568,Bosnia and Herzegovina,1991,19630000.0
569,Bosnia and Herzegovina,1992,12130000.0
570,Bosnia and Herzegovina,1993,8640000.0
571,Bosnia and Herzegovina,1994,-1600000.0
572,Bosnia and Herzegovina,1995,-1710000.0
573,Bosnia and Herzegovina,1996,-660000.0
574,Bosnia and Herzegovina,1997,4210000.0
575,Bosnia and Herzegovina,1998,7050000.0
576,Bosnia and Herzegovina,1999,7200000.0
577,Bosnia and Herzegovina,2000,10890000.0
578,Bosnia and Herzegovina,2001,18570000.0
579,Bosnia and Herzegovina,2002,18640000.0
580,Bosnia and Herzegovina,2003,19520000.0
581,Bosnia and Herzegovina,2004,20280000.0
582,Bosnia and Herzegovina,2005,20930000.0
583,Bosnia and Herzegovina,2006,22810000.0
584,Bosnia and Herzegovina,2007,24040000.0
585,Bosnia and Herzegovina,2008,25800000.0
586,Bosnia and Herzegovina,2009,26010000.0
587,Bosnia and Herzegovina,2010,26030000.0
588,Bosnia and Herzegovina,2011,29330000.0
589,Bosnia and Herzegovina,2012,27450000.0
590,Bosnia and Herzegovina,2013,27090000.0
591,Bosnia and Herzegovina,2014,24460000.0
594,Botswana,1990,61180000.0
595,Botswana,1991,60590000.0
596,Botswana,1992,60890000.0
597,Botswana,1993,60530000.0
598,Botswana,1994,60870000.0
599,Botswana,1995,61790000.0
600,Botswana,1996,75640000.0
601,Botswana,1997,86610000.0
602,Botswana,1998,95980000.0
603,Botswana,1999,80520000.0
604,Botswana,2000,68300000.0
605,Botswana,2001,55530000.0
606,Botswana,2002,148320000.0
607,Botswana,2003,89410000.0
608,Botswana,2004,30240000.0
609,Botswana,2005,79240000.0
610,Botswana,2006,41570000.0
611,Botswana,2007,83790000.0
612,Botswana,2008,46180000.0
613,Botswana,2009,28280000.0
614,Botswana,2010,37590000.0
615,Botswana,2011,47860000.0
616,Botswana,2012,34180000.0
617,Botswana,2013,66340000.0
618,Botswana,2014,34320000.0
621,Brazil,1990,1496210000.0
622,Brazil,1991,1523470000.0
623,Brazil,1992,1533440000.0
624,Brazil,1993,1543620000.0
625,Brazil,1994,1559950000.0
626,Brazil,1995,1579960000.0
627,Brazil,1996,1575860000.0
628,Brazil,1997,1606560000.0
629,Brazil,1998,1641470000.0
630,Brazil,1999,1650530000.0
631,Brazil,2000,1646960000.0
632,Brazil,2001,1899730000.0
633,Brazil,2002,1945010000.0
634,Brazil,2003,1958830000.0
635,Brazil,2004,2005240000.0
636,Brazil,2005,2015480000.0
637,Brazil,2006,1420950000.0
638,Brazil,2007,1466130000.0
639,Brazil,2008,1454360000.0
640,Brazil,2009,1433190000.0
641,Brazil,2010,1540260000.0
642,Brazil,2011,1307810000.0
643,Brazil,2012,1353140000.0
644,Brazil,2013,1368380000.0
645,Brazil,2014,1413430000.0
648,Brunei,1990,15830000.0
649,Brunei,1991,15410000.0
650,Brunei,1992,15750000.0
651,Brunei,1993,16180000.0
652,Brunei,1994,16520000.0
653,Brunei,1995,17060000.0
654,Brunei,1996,17720000.0
655,Brunei,1997,18640000.0
656,Brunei,1998,22380000.0
657,Brunei,1999,18120000.0
658,Brunei,2000,18670000.0
659,Brunei,2001,18620000.0
660,Brunei,2002,18750000.0
661,Brunei,2003,19790000.0
662,Brunei,2004,19420000.0
663,Brunei,2005,19430000.0
664,Brunei,2006,21300000.0
665,Brunei,2007,20420000.0
666,Brunei,2008,20330000.0
667,Brunei,2009,20080000.0
668,Brunei,2010,19090000.0
669,Brunei,2011,17600000.0
670,Brunei,2012,17690000.0
671,Brunei,2013,17490000.0
672,Brunei,2014,17400000.0
675,Bulgaria,1990,89990000.0
676,Bulgaria,1991,68960000.0
677,Bulgaria,1992,63910000.0
678,Bulgaria,1993,62340000.0
679,Bulgaria,1994,58480000.0
680,Bulgaria,1995,59670000.0
681,Bulgaria,1996,60250000.0
682,Bulgaria,1997,57140000.0
683,Bulgaria,1998,53350000.0
684,Bulgaria,1999,46680000.0
685,Bulgaria,2000,46380000.0
686,Bulgaria,2001,46640000.0
687,Bulgaria,2002,43610000.0
688,Bulgaria,2003,48420000.0
689,Bulgaria,2004,47140000.0
690,Bulgaria,2005,47220000.0
691,Bulgaria,2006,51140000.0
692,Bulgaria,2007,55520000.0
693,Bulgaria,2008,53010000.0
694,Bulgaria,2009,45610000.0
695,Bulgaria,2010,47270000.0
696,Bulgaria,2011,53100000.0
697,Bulgaria,2012,47340000.0
698,Bulgaria,2013,42310000.0
699,Bulgaria,2014,44780000.0
702,Burkina Faso,1990,22860000.0
703,Burkina Faso,1991,23340000.0
704,Burkina Faso,1992,23640000.0
705,Burkina Faso,1993,23880000.0
706,Burkina Faso,1994,24370000.0
707,Burkina Faso,1995,24720000.0
708,Burkina Faso,1996,26180000.0
709,Burkina Faso,1997,26720000.0
710,Burkina Faso,1998,27510000.0
711,Burkina Faso,1999,27420000.0
712,Burkina Faso,2000,28770000.0
713,Burkina Faso,2001,25190000.0
714,Burkina Faso,2002,26520000.0
715,Burkina Faso,2003,29100000.0
716,Burkina Faso,2004,30020000.0
717,Burkina Faso,2005,30740000.0
718,Burkina Faso,2006,32500000.0
719,Burkina Faso,2007,33500000.0
720,Burkina Faso,2008,34020000.0
721,Burkina Faso,2009,35020000.0
722,Burkina Faso,2010,36190000.0
723,Burkina Faso,2011,34310000.0
724,Burkina Faso,2012,34920000.0
725,Burkina Faso,2013,35940000.0
726,Burkina Faso,2014,36110000.0
729,Burundi,1990,12450000.0
730,Burundi,1991,12540000.0
731,Burundi,1992,12580000.0
732,Burundi,1993,12610000.0
733,Burundi,1994,12550000.0
734,Burundi,1995,12630000.0
735,Burundi,1996,12010000.0
736,Burundi,1997,12180000.0
737,Burundi,1998,12420000.0
738,Burundi,1999,12100000.0
739,Burundi,2000,12240000.0
740,Burundi,2001,9200000.0
741,Burundi,2002,10170000.0
742,Burundi,2003,10380000.0
743,Burundi,2004,9590000.0
744,Burundi,2005,8860000.0
745,Burundi,2006,3140000.0
746,Burundi,2007,2690000.0
747,Burundi,2008,3440000.0
748,Burundi,2009,3810000.0
749,Burundi,2010,3920000.0
750,Burundi,2011,7410000.0
751,Burundi,2012,7240000.0
752,Burundi,2013,7870000.0
753,Burundi,2014,7600000.0
756,Cambodia,1990,47370000.0
757,Cambodia,1991,47180000.0
758,Cambodia,1992,47830000.0
759,Cambodia,1993,48760000.0
760,Cambodia,1994,47680000.0
761,Cambodia,1995,49880000.0
762,Cambodia,1996,46960000.0
763,Cambodia,1997,48250000.0
764,Cambodia,1998,51810000.0
765,Cambodia,1999,51320000.0
766,Cambodia,2000,49700000.0
767,Cambodia,2001,52650000.0
768,Cambodia,2002,54210000.0
769,Cambodia,2003,56570000.0
770,Cambodia,2004,58510000.0
771,Cambodia,2005,59060000.0
772,Cambodia,2006,51610000.0
773,Cambodia,2007,53290000.0
774,Cambodia,2008,53290000.0
775,Cambodia,2009,54200000.0
776,Cambodia,2010,54680000.0
777,Cambodia,2011,57230000.0
778,Cambodia,2012,56290000.0
779,Cambodia,2013,58650000.0
780,Cambodia,2014,57860000.0
783,Cameroon,1990,136700000.0
784,Cameroon,1991,136400000.0
785,Cameroon,1992,136410000.0
786,Cameroon,1993,140540000.0
787,Cameroon,1994,197040000.0
788,Cameroon,1995,197080000.0
789,Cameroon,1996,191900000.0
790,Cameroon,1997,192840000.0
791,Cameroon,1998,196640000.0
792,Cameroon,1999,195880000.0
793,Cameroon,2000,197560000.0
794,Cameroon,2001,196880000.0
795,Cameroon,2002,195310000.0
796,Cameroon,2003,203040000.0
797,Cameroon,2004,199660000.0
798,Cameroon,2005,206730000.0
799,Cameroon,2006,197700000.0
800,Cameroon,2007,202370000.0
801,Cameroon,2008,204680000.0
802,Cameroon,2009,202260000.0
803,Cameroon,2010,201390000.0
804,Cameroon,2011,200930000.0
805,Cameroon,2012,199180000.0
806,Cameroon,2013,209020000.0
807,Cameroon,2014,202930000.0
810,Canada,1990,662910000.0
811,Canada,1991,657880000.0
812,Canada,1992,673690000.0
813,Canada,1993,672180000.0
814,Canada,1994,692690000.0
815,Canada,1995,708890000.0
816,Canada,1996,703230000.0
817,Canada,1997,700960000.0
818,Canada,1998,809410000.0
819,Canada,1999,744270000.0
820,Canada,2000,731300000.0
821,Canada,2001,903030000.0
822,Canada,2002,981570000.0
823,Canada,2003,1001570000.0
824,Canada,2004,961050000.0
825,Canada,2005,971700000.0
826,Canada,2006,882120000.0
827,Canada,2007,894320000.0
828,Canada,2008,877950000.0
829,Canada,2009,800900000.0
830,Canada,2010,884340000.0
831,Canada,2011,756740000.0
832,Canada,2012,791740000.0
833,Canada,2013,857340000.0
834,Canada,2014,819390000.0
837,Cape Verde,1990,-170000.0
838,Cape Verde,1991,-150000.0
839,Cape Verde,1992,-120000.0
840,Cape Verde,1993,-110000.0
841,Cape Verde,1994,-130000.0
842,Cape Verde,1995,-90000.0
843,Cape Verde,1996,-100000.0
844,Cape Verde,1997,-90000.0
845,Cape Verde,1998,-60000.0
846,Cape Verde,1999,-30000.0
847,Cape Verde,2000,0.0
848,Cape Verde,2001,420000.0
849,Cape Verde,2002,460000.0
850,Cape Verde,2003,500000.0
851,Cape Verde,2004,530000.0
852,Cape Verde,2005,640000.0
853,Cape Verde,2006,600000.0
854,Cape Verde,2007,640000.0
855,Cape Verde,2008,600000.0
856,Cape Verde,2009,670000.0
857,Cape Verde,2010,710000.0
858,Cape Verde,2011,640000.0
859,Cape Verde,2012,540000.0
860,Cape Verde,2013,540000.0
861,Cape Verde,2014,540000.0
864,Central African Republic,1990,52320000.0
865,Central African Republic,1991,53090000.0
866,Central African Republic,1992,53580000.0
867,Central African Republic,1993,54070000.0
868,Central African Republic,1994,57020000.0
869,Central African Republic,1995,57580000.0
870,Central African Republic,1996,58780000.0
871,Central African Republic,1997,62470000.0
872,Central African Republic,1998,68000000.0
873,Central African Republic,1999,64660000.0
874,Central African Republic,2000,66260000.00000001
875,Central African Republic,2001,60880000.0
876,Central African Republic,2002,57130000.0
877,Central African Republic,2003,64800000.0
878,Central African Republic,2004,59650000.0
879,Central African Republic,2005,61910000.0
880,Central African Republic,2006,60350000.0
881,Central African Republic,2007,61960000.0
882,Central African Republic,2008,64730000.00000001
883,Central African Republic,2009,58070000.0
884,Central African Republic,2010,62100000.0
885,Central African Republic,2011,66459999.99999999
886,Central African Republic,2012,63840000.0
887,Central African Republic,2013,67210000.0
888,Central African Republic,2014,67550000.0
891,Chad,1990,25000000.0
892,Chad,1991,25190000.0
