,Entity,Year,Consumption of Ozone
96,Angola,1995,114.8
97,Angola,1996,114.8
98,Angola,1997,114.8
99,Angola,1998,115.9
100,Angola,2000,107.0
101,Angola,2001,119.8
102,Angola,2002,110.0
103,Angola,2003,109.7
104,Angola,2004,82.2
105,Angola,2005,59.2
106,Angola,2006,42.1
107,Angola,2007,17.0
108,Angola,2008,20.2
109,Angola,2009,35.3
110,Angola,2010,12.7
111,Angola,2011,11.55
112,Angola,2012,6.6
113,Angola,2013,15.43
114,Angola,2014,13.21
116,Antigua and Barbuda,1990,425.5
117,Antigua and Barbuda,1991,430.2
118,Antigua and Barbuda,1992,432.9
119,Antigua and Barbuda,1993,428.5
120,Antigua and Barbuda,1994,12.9
121,Antigua and Barbuda,1995,11.9
122,Antigua and Barbuda,1996,10.7
123,Antigua and Barbuda,1997,10.3
124,Antigua and Barbuda,1998,27.7
125,Antigua and Barbuda,1999,-1.6
126,Antigua and Barbuda,2000,5.1
127,Antigua and Barbuda,2001,3.3
128,Antigua and Barbuda,2002,4.0
129,Antigua and Barbuda,2003,1.7
130,Antigua and Barbuda,2004,2.6
131,Antigua and Barbuda,2005,1.7
132,Antigua and Barbuda,2006,1.6
133,Antigua and Barbuda,2007,0.9
134,Antigua and Barbuda,2008,0.3
135,Antigua and Barbuda,2009,0.5
136,Antigua and Barbuda,2010,0.1
137,Antigua and Barbuda,2011,0.38
138,Antigua and Barbuda,2012,0.11
139,Antigua and Barbuda,2013,0.22
141,Arabian Peninsula,1991,1217.3
142,Arabian Peninsula,1995,8916.0
143,Arabian Peninsula,1996,7461.7
144,Arabian Peninsula,1997,6615.0
145,Arabian Peninsula,1998,6578.1
146,Arabian Peninsula,1999,5310.7
147,Arabian Peninsula,2000,5036.0
148,Arabian Peninsula,2001,4947.2
149,Arabian Peninsula,2002,4647.1
150,Arabian Peninsula,2003,3806.1
151,Arabian Peninsula,2004,3872.7
152,Arabian Peninsula,2005,3208.8
153,Arabian Peninsula,2006,3247.6
154,Arabian Peninsula,2007,3093.5
155,Arabian Peninsula,2008,3171.3
156,Arabian Peninsula,2009,3116.5
157,Arabian Peninsula,2010,2997.29
158,Arabian Peninsula,2011,3098.44
159,Arabian Peninsula,2012,3393.11
160,Arabian Peninsula,2013,2680.73
162,Argentina,1990,1514.0
163,Argentina,1991,9912.3
164,Argentina,1992,10085.8
165,Argentina,1993,4380.5
166,Argentina,1994,7082.1
167,Argentina,1995,10042.5
168,Argentina,1996,4949.5
169,Argentina,1997,4369.0
170,Argentina,1998,4374.9
171,Argentina,1999,4957.0
172,Argentina,2000,3383.0
173,Argentina,2001,3841.0
174,Argentina,2002,2386.0
175,Argentina,2003,2835.5
176,Argentina,2004,2784.1
177,Argentina,2005,2208.6
178,Argentina,2006,2215.5
179,Argentina,2007,1199.7
180,Argentina,2008,654.8
181,Argentina,2009,395.4
182,Argentina,2010,780.8
183,Argentina,2011,831.16
184,Argentina,2012,855.29
185,Argentina,2013,497.7
187,Armenia,1991,0.0
188,Armenia,1995,201.8
189,Armenia,1996,196.5
190,Armenia,1997,191.2
191,Armenia,1998,185.9
192,Armenia,1999,9.8
193,Armenia,2000,25.7
194,Armenia,2001,164.4
195,Armenia,2002,174.4
196,Armenia,2003,174.4
197,Armenia,2004,114.6
198,Armenia,2005,87.0
199,Armenia,2006,62.8
200,Armenia,2007,29.4
201,Armenia,2008,18.4
202,Armenia,2009,24.9
203,Armenia,2010,7.1
204,Armenia,2011,7.5
205,Armenia,2012,5.67
206,Armenia,2013,4.54
207,Armenia,2014,3.15
209,Asia + Pacific,1990,211206.9
210,Asia + Pacific,1991,277404.6
211,Asia + Pacific,1992,300265.9
212,Asia + Pacific,1993,271444.2
213,Asia + Pacific,1994,199695.7
214,Asia + Pacific,1995,213362.6
215,Asia + Pacific,1996,153008.6
216,Asia + Pacific,1997,165216.5
217,Asia + Pacific,1998,225850.4
218,Asia + Pacific,1999,168315.2
219,Asia + Pacific,2000,157349.6
220,Asia + Pacific,2001,124753.1
221,Asia + Pacific,2002,105325.6
222,Asia + Pacific,2003,107628.2
223,Asia + Pacific,2004,76641.2
224,Asia + Pacific,2005,54106.8
225,Asia + Pacific,2006,49882.8
226,Asia + Pacific,2007,38833.2
227,Asia + Pacific,2008,29669.8
228,Asia + Pacific,2009,30417.5
229,Asia + Pacific,2010,29457.8
230,Asia + Pacific,2011,28425.45
231,Asia + Pacific,2012,29124.45
232,Asia + Pacific,2013,21592.75
234,Australia,1990,7434.4
235,Australia,1991,8147.8
236,Australia,1992,7017.5
237,Australia,1993,4615.7
238,Australia,1994,4242.1
239,Australia,1995,3120.0
240,Australia,1996,826.9
241,Australia,1997,602.9
242,Australia,1998,770.7
243,Australia,1999,831.9
244,Australia,2000,484.6
245,Australia,2001,360.8
246,Australia,2002,389.7
247,Australia,2003,278.9
248,Australia,2004,189.8
249,Australia,2005,171.0
250,Australia,2006,69.4
251,Australia,2007,86.6
252,Australia,2008,68.4
253,Australia,2009,57.2
254,Australia,2010,-6.4
255,Australia,2011,46.81
256,Australia,2012,-33.51
257,Australia,2013,48.62
258,Australia,2014,10.1
260,Australia + New Zealand,1990,8629.8
261,Australia + New Zealand,1991,8984.4
262,Australia + New Zealand,1992,7739.3
263,Australia + New Zealand,1993,5474.8
264,Australia + New Zealand,1994,4701.7
265,Australia + New Zealand,1995,3442.9
266,Australia + New Zealand,1996,925.6
267,Australia + New Zealand,1997,682.8
268,Australia + New Zealand,1998,820.2
269,Australia + New Zealand,1999,900.0
270,Australia + New Zealand,2000,503.8
271,Australia + New Zealand,2001,393.2
272,Australia + New Zealand,2002,432.5
273,Australia + New Zealand,2003,314.2
274,Australia + New Zealand,2004,222.4
275,Australia + New Zealand,2005,219.6
276,Australia + New Zealand,2006,109.6
277,Australia + New Zealand,2007,119.9
278,Australia + New Zealand,2008,86.2
279,Australia + New Zealand,2009,74.7
280,Australia + New Zealand,2010,5.2
281,Australia + New Zealand,2011,58.31
282,Australia + New Zealand,2012,-28.04
283,Australia + New Zealand,2013,56.82
284,Australia + New Zealand,2014,10.1
286,Austria,1990,2004.4
287,Austria,1991,1896.7
288,Austria,1992,1710.2
289,Austria,1993,641.1
290,Austria,1994,1000.9
292,Azerbaijan,1991,2.8
293,Azerbaijan,1996,962.9
294,Azerbaijan,1997,227.5
295,Azerbaijan,1998,152.4
296,Azerbaijan,1999,100.7
297,Azerbaijan,2000,88.2
298,Azerbaijan,2001,52.1
299,Azerbaijan,2002,12.1
300,Azerbaijan,2003,10.2
301,Azerbaijan,2004,15.1
302,Azerbaijan,2005,21.9
303,Azerbaijan,2006,0.9
304,Azerbaijan,2007,0.8
305,Azerbaijan,2008,0.8
306,Azerbaijan,2009,3.5
307,Azerbaijan,2010,0.3
308,Azerbaijan,2011,7.63
309,Azerbaijan,2012,3.52
310,Azerbaijan,2013,1.76
312,Bahamas,1991,0.0
313,Bahamas,1992,2.4
314,Bahamas,1993,65.8
315,Bahamas,1994,68.1
316,Bahamas,1995,69.9
317,Bahamas,1996,72.0
318,Bahamas,1997,54.8
319,Bahamas,1998,59.4
320,Bahamas,1999,60.4
321,Bahamas,2000,70.3
322,Bahamas,2001,68.9
323,Bahamas,2002,58.4
324,Bahamas,2003,35.1
325,Bahamas,2004,23.8
326,Bahamas,2005,18.6
327,Bahamas,2006,8.9
328,Bahamas,2007,5.8
329,Bahamas,2008,3.9
330,Bahamas,2009,3.5
331,Bahamas,2010,6.1
332,Bahamas,2011,3.05
333,Bahamas,2012,2.73
334,Bahamas,2013,2.72
336,Bahrain,1990,178.8
337,Bahrain,1991,161.1
338,Bahrain,1992,230.8
339,Bahrain,1993,187.0
340,Bahrain,1994,200.9
341,Bahrain,1995,209.5
342,Bahrain,1996,234.2
343,Bahrain,1997,258.7
344,Bahrain,1998,221.1
345,Bahrain,1999,186.4
346,Bahrain,2000,178.2
347,Bahrain,2001,149.3
348,Bahrain,2002,138.1
349,Bahrain,2003,125.8
350,Bahrain,2004,85.3
351,Bahrain,2005,85.7
352,Bahrain,2006,61.1
353,Bahrain,2007,43.4
354,Bahrain,2008,50.5
355,Bahrain,2009,55.6
356,Bahrain,2010,58.7
357,Bahrain,2011,57.32
358,Bahrain,2012,75.59
359,Bahrain,2013,49.6
361,Bangladesh,1990,202.1
362,Bangladesh,1991,94.9
363,Bangladesh,1992,216.3
364,Bangladesh,1993,229.2
365,Bangladesh,1994,195.4
366,Bangladesh,1995,291.3
367,Bangladesh,1996,633.7
368,Bangladesh,1997,840.8
369,Bangladesh,1998,840.6
370,Bangladesh,1999,814.8
371,Bangladesh,2000,816.4
372,Bangladesh,2001,826.9
373,Bangladesh,2002,350.1
374,Bangladesh,2003,340.6
375,Bangladesh,2004,310.1
376,Bangladesh,2005,277.5
377,Bangladesh,2006,217.5
378,Bangladesh,2007,192.7
379,Bangladesh,2008,223.1
380,Bangladesh,2009,195.9
381,Bangladesh,2010,125.5
382,Bangladesh,2011,136.42
383,Bangladesh,2012,66.47
384,Bangladesh,2013,64.89
386,Barbados,1990,25.5
387,Barbados,1991,28.9
388,Barbados,1992,24.5
389,Barbados,1993,36.2
390,Barbados,1994,37.0
391,Barbados,1995,26.4
392,Barbados,1996,24.2
393,Barbados,1997,19.1
394,Barbados,1998,25.2
395,Barbados,1999,22.5
396,Barbados,2000,9.8
397,Barbados,2001,14.2
398,Barbados,2002,12.1
399,Barbados,2003,11.5
400,Barbados,2004,16.7
401,Barbados,2005,9.3
402,Barbados,2006,10.5
403,Barbados,2007,4.8
404,Barbados,2008,3.6
405,Barbados,2009,5.1
406,Barbados,2010,2.3
407,Barbados,2011,2.65
408,Barbados,2012,2.66
409,Barbados,2013,2.3
410,Barbados,2014,1.23
412,Belarus,1990,1549.0
413,Belarus,1991,1445.9
414,Belarus,1992,1156.6
415,Belarus,1993,1156.2
416,Belarus,1994,1005.9
417,Belarus,1995,595.3
418,Belarus,1996,599.2
419,Belarus,1997,419.4
420,Belarus,1998,278.3
421,Belarus,1999,208.2
422,Belarus,2000,16.8
423,Belarus,2001,9.3
424,Belarus,2002,2.7
425,Belarus,2003,4.5
426,Belarus,2004,3.1
427,Belarus,2005,0.6
428,Belarus,2006,1.3
429,Belarus,2007,0.8
430,Belarus,2008,0.4
431,Belarus,2009,10.4
432,Belarus,2010,10.0
433,Belarus,2011,9.02
434,Belarus,2012,8.05
435,Belarus,2013,6.95
436,Belarus,2014,5.56
438,Belize,1991,0.0
439,Belize,1995,22.9
440,Belize,1996,25.0
441,Belize,1997,27.2
442,Belize,1998,25.7
443,Belize,1999,51.5
444,Belize,2000,15.7
445,Belize,2001,28.8
446,Belize,2002,21.7
447,Belize,2003,15.1
448,Belize,2004,12.2
449,Belize,2005,9.6
450,Belize,2006,3.9
451,Belize,2007,3.2
452,Belize,2008,1.8
453,Belize,2009,2.5
454,Belize,2010,3.1
455,Belize,2011,1.94
456,Belize,2012,2.58
457,Belize,2013,2.43
458,Belize,2014,2.42
460,Benin,1990,60.8
461,Benin,1991,40.3
462,Benin,1992,47.0
463,Benin,1993,48.8
464,Benin,1994,48.8
465,Benin,1995,73.5
466,Benin,1996,59.0
467,Benin,1997,60.3
468,Benin,1998,54.9
469,Benin,1999,57.3
470,Benin,2000,55.2
471,Benin,2001,54.5
472,Benin,2002,36.0
473,Benin,2003,17.8
474,Benin,2004,11.8
475,Benin,2005,10.3
476,Benin,2006,32.6
477,Benin,2007,27.9
478,Benin,2008,26.9
479,Benin,2009,27.1
480,Benin,2010,24.0
481,Benin,2011,23.75
482,Benin,2012,23.3
483,Benin,2013,22.15
485,Bhutan,1991,0.0
486,Bhutan,1995,0.1
487,Bhutan,1996,0.2
488,Bhutan,1997,1.0
489,Bhutan,1998,0.0
490,Bhutan,1999,0.0
491,Bhutan,2000,0.0
492,Bhutan,2004,0.1
493,Bhutan,2005,0.1
494,Bhutan,2006,0.1
495,Bhutan,2007,0.1
496,Bhutan,2008,0.1
497,Bhutan,2009,0.3
498,Bhutan,2010,0.3
499,Bhutan,2011,0.28
500,Bhutan,2012,0.31
501,Bhutan,2013,0.28
502,Bhutan,2014,0.25
504,Bolivia,1991,15.9
505,Bolivia,1994,76.7
506,Bolivia,1995,82.3
507,Bolivia,1996,92.5
508,Bolivia,1997,60.7
509,Bolivia,1998,77.1
510,Bolivia,1999,74.2
511,Bolivia,2000,80.7
512,Bolivia,2001,80.2
513,Bolivia,2002,67.4
514,Bolivia,2003,35.2
515,Bolivia,2004,45.8
516,Bolivia,2005,29.6
517,Bolivia,2006,36.4
518,Bolivia,2007,6.6
519,Bolivia,2008,8.6
520,Bolivia,2009,4.4
521,Bolivia,2010,7.7
522,Bolivia,2011,7.5
523,Bolivia,2012,6.79
524,Bolivia,2013,0.37
526,Bosnia and Herzegovina,1990,14.0
527,Bosnia and Herzegovina,1991,159.3
528,Bosnia and Herzegovina,1992,22.5
529,Bosnia and Herzegovina,1993,18.0
530,Bosnia and Herzegovina,1994,9.9
531,Bosnia and Herzegovina,1995,9.5
532,Bosnia and Herzegovina,1996,29.0
533,Bosnia and Herzegovina,1997,65.3
534,Bosnia and Herzegovina,1998,50.3
535,Bosnia and Herzegovina,1999,159.4
536,Bosnia and Herzegovina,2000,185.0
537,Bosnia and Herzegovina,2001,214.3
538,Bosnia and Herzegovina,2002,259.2
539,Bosnia and Herzegovina,2003,247.6
540,Bosnia and Herzegovina,2004,202.1
541,Bosnia and Herzegovina,2005,61.7
542,Bosnia and Herzegovina,2006,36.6
543,Bosnia and Herzegovina,2007,27.6
544,Bosnia and Herzegovina,2008,16.4
545,Bosnia and Herzegovina,2009,5.8
546,Bosnia and Herzegovina,2010,3.5
547,Bosnia and Herzegovina,2011,3.35
548,Bosnia and Herzegovina,2012,4.06
549,Bosnia and Herzegovina,2013,5.13
550,Bosnia and Herzegovina,2014,3.37
552,Botswana,1991,0.0
553,Botswana,1992,21.6
554,Botswana,1993,36.8
555,Botswana,1994,10.8
556,Botswana,1995,15.3
557,Botswana,1996,6.7
558,Botswana,1997,17.3
559,Botswana,1998,2.6
560,Botswana,1999,2.6
561,Botswana,2000,6.6
562,Botswana,2001,10.7
563,Botswana,2002,10.2
564,Botswana,2003,8.2
565,Botswana,2004,5.6
566,Botswana,2005,5.3
567,Botswana,2006,7.9
568,Botswana,2007,11.1
569,Botswana,2008,13.6
570,Botswana,2009,11.0
571,Botswana,2010,11.0
572,Botswana,2011,10.89
573,Botswana,2012,10.84
574,Botswana,2013,10.84
576,Brazil,1990,39337.3
577,Brazil,1991,9246.0
578,Brazil,1992,26560.4
579,Brazil,1993,32578.2
580,Brazil,1994,11572.3
581,Brazil,1995,13213.5
582,Brazil,1996,11518.5
583,Brazil,1997,4568.6
584,Brazil,1998,10419.7
585,Brazil,1999,13125.9
586,Brazil,2000,11375.7
587,Brazil,2001,7412.2
588,Brazil,2002,3589.4
589,Brazil,2003,4485.4
590,Brazil,2004,3150.4
591,Brazil,2005,2076.9
592,Brazil,2006,1335.5
593,Brazil,2007,1508.6
594,Brazil,2008,1305.4
595,Brazil,2009,1462.4
596,Brazil,2010,1207.2
597,Brazil,2011,1046.4
598,Brazil,2012,1387.87
599,Brazil,2013,1189.25
600,Brazil,2014,1164.74
602,Brunei,1991,0.0
603,Brunei,1992,60.9
604,Brunei,1993,83.3
605,Brunei,1994,65.7
606,Brunei,1995,67.3
607,Brunei,1996,81.8
608,Brunei,1997,92.5
609,Brunei,1998,65.0
610,Brunei,1999,37.7
611,Brunei,2000,47.8
612,Brunei,2001,33.1
613,Brunei,2002,46.3
614,Brunei,2003,33.7
615,Brunei,2004,63.3
616,Brunei,2005,41.6
617,Brunei,2006,28.6
618,Brunei,2007,10.4
619,Brunei,2008,7.6
620,Brunei,2009,5.8
621,Brunei,2010,6.9
622,Brunei,2011,8.08
623,Brunei,2012,5.9
624,Brunei,2013,4.27
625,Brunei,2014,4.0
627,Bulgaria,1990,2353.6
628,Bulgaria,1991,1957.1
629,Bulgaria,1992,1617.6
630,Bulgaria,1993,735.6
631,Bulgaria,1994,739.7
632,Bulgaria,1995,372.1
633,Bulgaria,1996,17.7
634,Bulgaria,1997,1.6
635,Bulgaria,1998,39.0
636,Bulgaria,1999,41.8
637,Bulgaria,2000,19.7
638,Bulgaria,2001,22.7
639,Bulgaria,2002,23.8
640,Bulgaria,2003,13.1
641,Bulgaria,2004,16.5
642,Bulgaria,2005,15.6
643,Bulgaria,2006,10.6
645,Burkina Faso,1990,31.3
646,Burkina Faso,1991,32.8
647,Burkina Faso,1992,40.0
648,Burkina Faso,1993,41.7
649,Burkina Faso,1994,37.5
650,Burkina Faso,1995,45.3
651,Burkina Faso,1996,41.8
652,Burkina Faso,1997,37.6
653,Burkina Faso,1998,37.0
654,Burkina Faso,1999,30.6
655,Burkina Faso,2000,34.9
656,Burkina Faso,2001,29.9
657,Burkina Faso,2002,27.9
658,Burkina Faso,2003,25.0
659,Burkina Faso,2004,24.6
660,Burkina Faso,2005,22.4
661,Burkina Faso,2006,21.6
662,Burkina Faso,2007,23.0
663,Burkina Faso,2008,23.3
664,Burkina Faso,2009,26.7
665,Burkina Faso,2010,31.0
666,Burkina Faso,2011,27.93
667,Burkina Faso,2012,26.59
668,Burkina Faso,2013,14.88
669,Burkina Faso,2014,12.38
671,Burundi,1990,43.0
672,Burundi,1991,45.6
673,Burundi,1992,48.2
674,Burundi,1995,56.2
675,Burundi,1996,58.8
676,Burundi,1997,62.0
677,Burundi,1998,64.5
678,Burundi,1999,59.7
679,Burundi,2000,53.9
680,Burundi,2001,46.6
681,Burundi,2002,19.2
682,Burundi,2003,9.2
683,Burundi,2004,4.9
684,Burundi,2005,8.5
685,Burundi,2006,8.9
686,Burundi,2007,8.9
687,Burundi,2008,7.3
688,Burundi,2009,7.3
689,Burundi,2010,7.4
690,Burundi,2011,6.99
691,Burundi,2012,6.99
692,Burundi,2013,7.11
693,Burundi,2014,6.82
695,Cambodia,1991,0.0
696,Cambodia,1995,97.0
697,Cambodia,1996,97.0
698,Cambodia,1997,97.0
699,Cambodia,1998,97.0
700,Cambodia,1999,97.0
701,Cambodia,2000,97.0
702,Cambodia,2001,97.0
703,Cambodia,2002,97.0
704,Cambodia,2003,89.9
705,Cambodia,2004,74.6
706,Cambodia,2005,50.8
707,Cambodia,2006,34.6
708,Cambodia,2007,19.9
709,Cambodia,2008,9.3
710,Cambodia,2009,17.1
711,Cambodia,2010,12.8
712,Cambodia,2011,13.71
713,Cambodia,2012,10.12
714,Cambodia,2013,9.47
715,Cambodia,2014,11.19
717,Cameroon,1990,125.1
718,Cameroon,1991,118.6
719,Cameroon,1992,103.1
720,Cameroon,1993,213.7
721,Cameroon,1994,213.7
722,Cameroon,1995,282.6
723,Cameroon,1996,333.5
724,Cameroon,1997,285.3
725,Cameroon,1998,337.6
726,Cameroon,1999,403.7
727,Cameroon,2000,408.9
728,Cameroon,2001,403.8
729,Cameroon,2002,261.7
730,Cameroon,2003,233.6
731,Cameroon,2004,160.0
732,Cameroon,2005,141.0
733,Cameroon,2006,128.7
734,Cameroon,2007,42.7
735,Cameroon,2008,36.1
736,Cameroon,2009,102.7
737,Cameroon,2010,67.4
738,Cameroon,2011,65.78
739,Cameroon,2012,62.78
740,Cameroon,2013,82.34
742,Canada,1990,9917.9
743,Canada,1991,9285.4
744,Canada,1992,8642.0
745,Canada,1993,4533.2
746,Canada,1994,4050.2
747,Canada,1995,4808.6
748,Canada,1996,952.1
749,Canada,1997,1012.5
750,Canada,1998,935.5
751,Canada,1999,873.6
752,Canada,2000,953.1
753,Canada,2001,924.8
754,Canada,2002,923.1
755,Canada,2003,832.6
756,Canada,2004,602.8
757,Canada,2005,594.1
758,Canada,2006,576.4
759,Canada,2007,559.4
760,Canada,2008,509.9
761,Canada,2009,274.4
762,Canada,2010,65.2
763,Canada,2011,57.93
764,Canada,2012,61.83
765,Canada,2013,65.91
766,Canada,2014,54.25
768,Cape Verde,1990,2.2
769,Cape Verde,1991,2.1
770,Cape Verde,1992,2.2
771,Cape Verde,1993,2.3
772,Cape Verde,1994,2.3
773,Cape Verde,1995,2.4
774,Cape Verde,1996,2.3
775,Cape Verde,1997,2.2
776,Cape Verde,1998,2.1
777,Cape Verde,1999,2.0
778,Cape Verde,2000,1.9
779,Cape Verde,2001,1.9
780,Cape Verde,2002,1.8
781,Cape Verde,2003,1.8
782,Cape Verde,2004,1.5
783,Cape Verde,2005,0.9
784,Cape Verde,2006,0.2
785,Cape Verde,2007,0.2
786,Cape Verde,2008,0.2
787,Cape Verde,2009,1.8
788,Cape Verde,2010,0.3
789,Cape Verde,2011,0.28
790,Cape Verde,2012,0.23
791,Cape Verde,2013,0.17
792,Cape Verde,2014,0.17
794,Caribbean,1991,1433.8
795,Caribbean,1995,2003.6
796,Caribbean,1996,1995.0
797,Caribbean,1997,1882.6
798,Caribbean,1998,1688.3
799,Caribbean,1999,1952.7
800,Caribbean,2000,1669.3
801,Caribbean,2001,1627.5
802,Caribbean,2002,1356.0
803,Caribbean,2003,1110.9
804,Caribbean,2004,1117.7
805,Caribbean,2005,683.9
806,Caribbean,2006,654.7
807,Caribbean,2007,248.5
808,Caribbean,2008,219.5
809,Caribbean,2009,162.82
810,Caribbean,2010,161.32
811,Caribbean,2011,117.47
812,Caribbean,2012,164.7
813,Caribbean,2013,98.78
815,Central Africa,1991,346.7
816,Central Africa,1995,1647.7
817,Central Africa,1996,1432.9
818,Central Africa,1997,1000.2
819,Central Africa,1998,1385.7
820,Central Africa,1999,920.5
821,Central Africa,2000,1003.3
822,Central Africa,2001,1663.5
823,Central Africa,2002,1425.3
824,Central Africa,2003,913.0
825,Central Africa,2004,578.7
826,Central Africa,2005,499.0
827,Central Africa,2006,395.6
828,Central Africa,2007,164.9
829,Central Africa,2008,138.7
830,Central Africa,2009,251.22
831,Central Africa,2010,210.1
832,Central Africa,2011,214.05
833,Central Africa,2012,184.6
834,Central Africa,2013,176.65
836,Central African Republic,1991,42.8
837,Central African Republic,1992,44.5
838,Central African Republic,1993,32.2
839,Central African Republic,1994,32.2
840,Central African Republic,1995,28.2
841,Central African Republic,1996,6.5
842,Central African Republic,1997,0.0
843,Central African Republic,1998,7.3
844,Central African Republic,1999,1.5
845,Central African Republic,2000,4.5
846,Central African Republic,2001,4.2
847,Central African Republic,2002,4.6
848,Central African Republic,2003,4.3
849,Central African Republic,2004,4.1
850,Central African Republic,2005,2.9
851,Central African Republic,2006,2.3
852,Central African Republic,2007,1.6
853,Central African Republic,2008,6.7
854,Central African Republic,2009,11.9
855,Central African Republic,2010,12.1
856,Central African Republic,2011,12.02
857,Central African Republic,2012,11.83
859,Central Asia,1991,2615.0
860,Central Asia,1993,4125.1
861,Central Asia,1996,2166.2
862,Central Asia,1997,1761.8
863,Central Asia,1998,2262.2
864,Central Asia,1999,1022.8
865,Central Asia,2000,748.1
866,Central Asia,2001,522.8
867,Central Asia,2002,221.4
868,Central Asia,2003,183.1
869,Central Asia,2004,146.1
870,Central Asia,2005,90.7
871,Central Asia,2006,118.5
872,Central Asia,2007,138.9
873,Central Asia,2008,157.5
874,Central Asia,2009,155.4
875,Central Asia,2010,127.6
876,Central Asia,2011,112.58
877,Central Asia,2012,37.47
878,Central Asia,2013,117.33
880,Central Europe,1991,20829.9
881,Central Europe,1992,18247.9
882,Central Europe,1993,17554.5
883,Central Europe,1994,18364.0
884,Central Europe,1995,12075.4
885,Central Europe,1996,9574.7
886,Central Europe,1997,8170.5
887,Central Europe,1998,9457.6
888,Central Europe,1999,4115.2
889,Central Europe,2000,3474.3
890,Central Europe,2001,2869.4
891,Central Europe,2002,3355.5
892,Central Europe,2003,3058.0
894,Chad,1990,26.1
895,Chad,1991,28.5
896,Chad,1992,30.1
897,Chad,1993,31.5
898,Chad,1994,31.9
899,Chad,1995,33.2
900,Chad,1996,35.0
901,Chad,1997,36.3
902,Chad,1998,38.1
903,Chad,1999,37.6
904,Chad,2000,36.6
905,Chad,2001,31.8
906,Chad,2002,27.3
907,Chad,2003,22.9
908,Chad,2004,14.4
909,Chad,2005,11.6
910,Chad,2006,9.2
911,Chad,2007,5.2
912,Chad,2008,21.5
913,Chad,2009,26.9
914,Chad,2010,6.2
915,Chad,2011,17.0
916,Chad,2012,16.5
917,Chad,2013,15.2
919,Chile,1990,1015.5
920,Chile,1991,1049.8
921,Chile,1992,922.9
922,Chile,1993,1263.8
923,Chile,1994,1112.3
924,Chile,1995,1164.4
925,Chile,1996,1168.4
926,Chile,1997,856.8
927,Chile,1998,1089.4
928,Chile,1999,815.8
929,Chile,2000,880.9
930,Chile,2001,769.1
931,Chile,2002,591.9
932,Chile,2003,744.5
933,Chile,2004,572.5
934,Chile,2005,469.2
935,Chile,2006,435.1
936,Chile,2007,270.2
937,Chile,2008,304.0
938,Chile,2009,262.1
939,Chile,2010,261.7
940,Chile,2011,275.31
941,Chile,2012,272.38
942,Chile,2013,241.89
944,China,1990,59674.0
945,China,1991,70285.1
946,China,1992,102771.7
947,China,1993,113707.8
948,China,1994,92418.6
949,China,1995,110333.1
950,China,1996,82263.5
951,China,1997,90461.1
952,China,1998,166967.8
953,China,1999,100317.6
954,China,2000,90850.7
955,China,2001,66796.5
