Entity,Year,Sea surface temperature anomaly (relative to 1961-90 average),Sea surface temp anomaly (Lower CI),Sea surface temp anomaly (Upper CI)
Global,1984,0.06038,0.03696,0.07833
Global,1985,0.04476,0.01888,0.06317
Global,1986,0.0739,0.04829,0.09246
Global,1987,0.23264,0.20608,0.25087
Global,1988,0.20845,0.18125,0.22533
Global,1989,0.16803,0.14046,0.18571
Global,1990,0.29425,0.26604,0.31217
Global,1991,0.27296,0.24554,0.29013
Global,1992,0.17579,0.14892,0.19296
Global,1993,0.20568,0.17942,0.22337
Global,1994,0.24524,0.21946,0.26338
Global,1995,0.30009,0.27429,0.31904
Global,1996,0.23714,0.21217,0.25621
Global,1997,0.42091,0.39558,0.43854
Global,1998,0.51006,0.48458,0.52758
Global,1999,0.27619,0.25029,0.29279
Global,2000,0.28053,0.2535,0.29704
Global,2001,0.39199,0.36458,0.40858
Global,2002,0.43434,0.40663,0.45042
Global,2003,0.45946,0.43288,0.47663
Global,2004,0.4376,0.4125,0.45446
Global,2005,0.44789,0.42325,0.46471
Global,2006,0.42388,0.3995,0.44133
Global,2007,0.35835,0.33362,0.37629
Global,2008,0.33213,0.30821,0.35083
Global,2009,0.4801,0.45562,0.50029
Global,2010,0.48557,0.46054,0.50604
Global,2011,0.37851,0.35342,0.39971
Global,2012,0.44911,0.42379,0.47096
Global,2013,0.47344,0.44821,0.49625
Global,2014,0.57639,0.55171,0.59946
Global,2015,0.70045,0.67617,0.72338
Global,2016,0.71945,0.69592,0.74208
Global,2017,0.64483,0.622,0.66704
Global,2018,0.61641,0.5935,0.63888
Global,2019,0.71702,0.69317,0.73946
Global,2020,0.70998,0.68475,0.73458
