,Entity,Year,Food Emissions
204,Argentina,2012,337579558.0
205,Argentina,2013,331618292.9
206,Argentina,2014,332974259.4
208,Armenia,1990,4584106.747
209,Armenia,1991,3955455.903
210,Armenia,1992,3131376.2
211,Armenia,1993,2352402.5
212,Armenia,1994,2196058.8
213,Armenia,1995,2183994.9
214,Armenia,1996,2188776.8
215,Armenia,1997,2218402.6
216,Armenia,1998,2086033.6
217,Armenia,1999,2080752.5
218,Armenia,2000,2175370.3
219,Armenia,2001,2218466.8
220,Armenia,2002,2288860.1
221,Armenia,2003,2407650.2
222,Armenia,2004,2706976.5
223,Armenia,2005,2744438.8000000003
224,Armenia,2006,3176743.7
225,Armenia,2007,3315795.9
226,Armenia,2008,3347222.0
227,Armenia,2009,3172839.8000000003
228,Armenia,2010,3156636.6
229,Armenia,2011,2789200.0
230,Armenia,2012,2957169.3
231,Armenia,2013,3013294.7
232,Armenia,2014,3457200.0
234,Aruba,1990,37873.5
235,Aruba,1991,42538.5
236,Aruba,1992,45084.1
237,Aruba,1993,46292.600000000006
238,Aruba,1994,47965.0
239,Aruba,1995,54193.1
240,Aruba,1996,44754.4
241,Aruba,1997,58434.8
242,Aruba,1998,70138.0
243,Aruba,1999,88596.2
244,Aruba,2000,84177.7
245,Aruba,2001,89257.1
246,Aruba,2002,84393.0
247,Aruba,2003,84341.29999999999
248,Aruba,2004,91784.9
249,Aruba,2005,85340.29999999999
250,Aruba,2006,83639.8
251,Aruba,2007,79623.1
252,Aruba,2008,81445.90000000001
253,Aruba,2009,82951.2
254,Aruba,2010,85224.3
255,Aruba,2011,80063.9
256,Aruba,2012,124643.0
257,Aruba,2013,137566.0
258,Aruba,2014,137337.0
260,Australia,1990,185579478.1
261,Australia,1991,184811478.1
262,Australia,1992,181999478.1
263,Australia,1993,181290478.1
264,Australia,1994,183777642.0
265,Australia,1995,182309957.8
266,Australia,1996,187551645.9
267,Australia,1997,192594689.2
268,Australia,1998,193690461.4
269,Australia,1999,195857423.2
270,Australia,2000,196437081.2
271,Australia,2001,280068154.7
272,Australia,2002,279828731.6
273,Australia,2003,286313616.5
274,Australia,2004,274773787.0
275,Australia,2005,277692098.7
276,Australia,2006,428256385.9
277,Australia,2007,420118898.9
278,Australia,2008,413916901.0
279,Australia,2009,424684896.8
280,Australia,2010,416792393.5
281,Australia,2011,208776374.6
282,Australia,2012,200995223.1
283,Australia,2013,206916985.9
284,Australia,2014,201652508.1
286,Austria,1990,22774023.2
287,Austria,1991,22978836.5
288,Austria,1992,22438899.0
289,Austria,1993,22319110.9
290,Austria,1994,22067483.0
291,Austria,1995,22047700.6
292,Austria,1996,22361235.0
293,Austria,1997,22772100.4
294,Austria,1998,22813025.6
295,Austria,1999,22723918.3
296,Austria,2000,23078169.4
297,Austria,2001,22346811.1
298,Austria,2002,22987369.5
299,Austria,2003,23520996.6
300,Austria,2004,23059259.6
301,Austria,2005,22920437.8
302,Austria,2006,22599347.2
303,Austria,2007,22608927.1
304,Austria,2008,22605749.200000003
305,Austria,2009,21793234.1
306,Austria,2010,22415619.8
307,Austria,2011,22201594.5
308,Austria,2012,21728330.9
309,Austria,2013,21771554.4
310,Austria,2014,21646254.5
312,Azerbaijan,1990,18943483.49
313,Azerbaijan,1991,16184183.36
314,Azerbaijan,1992,15353837.3
315,Azerbaijan,1993,12544537.3
316,Azerbaijan,1994,11498937.3
317,Azerbaijan,1995,11110437.3
318,Azerbaijan,1996,10669144.8
319,Azerbaijan,1997,10718042.0
320,Azerbaijan,1998,10150710.9
321,Azerbaijan,1999,10172129.2
322,Azerbaijan,2000,10893509.1
323,Azerbaijan,2001,11116999.6
324,Azerbaijan,2002,11404220.8
325,Azerbaijan,2003,11857987.1
326,Azerbaijan,2004,12204395.4
327,Azerbaijan,2005,13250579.5
328,Azerbaijan,2006,13047171.1
329,Azerbaijan,2007,14662480.9
330,Azerbaijan,2008,16406452.000000002
331,Azerbaijan,2009,16768271.1
332,Azerbaijan,2010,16439517.8
333,Azerbaijan,2011,16964885.5
334,Azerbaijan,2012,17721082.5
335,Azerbaijan,2013,18151081.7
336,Azerbaijan,2014,18279768.700000003
338,Bahamas,1990,362911.4
339,Bahamas,1991,361410.4
340,Bahamas,1992,354195.4
341,Bahamas,1993,353785.4
342,Bahamas,1994,366731.4
343,Bahamas,1995,393000.4
344,Bahamas,1996,403693.3
345,Bahamas,1997,404469.1
346,Bahamas,1998,484772.6
347,Bahamas,1999,527835.2
348,Bahamas,2000,536185.0
349,Bahamas,2001,456442.6
350,Bahamas,2002,482250.0
351,Bahamas,2003,464237.1
352,Bahamas,2004,657914.6
353,Bahamas,2005,590223.3999999999
354,Bahamas,2006,527911.2999999999
355,Bahamas,2007,511996.1
356,Bahamas,2008,527211.4
357,Bahamas,2009,512952.1
358,Bahamas,2010,487820.5
359,Bahamas,2011,657631.8
360,Bahamas,2012,671032.4
361,Bahamas,2013,852028.7
362,Bahamas,2014,692509.2000000001
364,Bahrain,1990,1595710.0
365,Bahrain,1991,1534400.0
366,Bahrain,1992,1719030.0
367,Bahrain,1993,1889110.0
368,Bahrain,1994,1928890.0
369,Bahrain,1995,2031010.0
370,Bahrain,1996,2009110.0
371,Bahrain,1997,2155550.0
372,Bahrain,1998,2141260.0
373,Bahrain,1999,2270340.0
374,Bahrain,2000,2246990.0
375,Bahrain,2001,2272700.0
376,Bahrain,2002,2368810.0
377,Bahrain,2003,2312340.0
378,Bahrain,2004,2380640.0
379,Bahrain,2005,2770790.0
380,Bahrain,2006,3003150.0
381,Bahrain,2007,3062590.0
382,Bahrain,2008,3263370.0
383,Bahrain,2009,3325600.0
384,Bahrain,2010,3326570.0
385,Bahrain,2011,3410590.0
386,Bahrain,2012,3477770.0
387,Bahrain,2013,3849290.0
388,Bahrain,2014,4017050.0
390,Bangladesh,1990,144110554.0
391,Bangladesh,1991,142366263.5
392,Bangladesh,1992,142575968.5
393,Bangladesh,1993,140866669.0
394,Bangladesh,1994,141278365.0
395,Bangladesh,1995,143326631.20000002
396,Bangladesh,1996,142913601.4
397,Bangladesh,1997,143105671.5
398,Bangladesh,1998,141260093.0
399,Bangladesh,1999,145319559.9
400,Bangladesh,2000,145107400.39999998
401,Bangladesh,2001,145989099.1
402,Bangladesh,2002,148056164.70000002
403,Bangladesh,2003,149659937.7
404,Bangladesh,2004,149853635.0
405,Bangladesh,2005,152375453.9
406,Bangladesh,2006,155986356.3
407,Bangladesh,2007,157248856.70000002
408,Bangladesh,2008,163942054.0
409,Bangladesh,2009,164180085.10000002
410,Bangladesh,2010,168321229.9
411,Bangladesh,2011,170062167.8
412,Bangladesh,2012,169711290.8
413,Bangladesh,2013,170352985.0
414,Bangladesh,2014,171803064.5
416,Barbados,1990,269239.0
417,Barbados,1991,272557.0
418,Barbados,1992,272648.0
419,Barbados,1993,261018.0
420,Barbados,1994,260674.00000000003
421,Barbados,1995,260230.00000000003
422,Barbados,1996,259896.00000000003
423,Barbados,1997,266184.0
424,Barbados,1998,285467.0
425,Barbados,1999,309923.0
426,Barbados,2000,353706.0
427,Barbados,2001,376673.0
428,Barbados,2002,361603.0
429,Barbados,2003,370646.0
430,Barbados,2004,335754.0
431,Barbados,2005,350637.0
432,Barbados,2006,339909.6
433,Barbados,2007,336483.3
434,Barbados,2008,342207.9
435,Barbados,2009,355891.5
436,Barbados,2010,359361.1
437,Barbados,2011,359366.6
438,Barbados,2012,429928.7
439,Barbados,2013,442014.9
440,Barbados,2014,442476.0
442,Belarus,1990,69860994.83
443,Belarus,1991,68819326.39
444,Belarus,1992,66264274.1
445,Belarus,1993,63033274.1
446,Belarus,1994,58958717.2
447,Belarus,1995,56352541.8
448,Belarus,1996,54530778.400000006
449,Belarus,1997,53894275.7
450,Belarus,1998,53657598.4
451,Belarus,1999,53049679.2
452,Belarus,2000,52183575.2
453,Belarus,2001,51703225.4
454,Belarus,2002,58939621.0
455,Belarus,2003,53389809.2
456,Belarus,2004,51688289.4
457,Belarus,2005,52076732.3
458,Belarus,2006,54232309.8
459,Belarus,2007,53144527.0
460,Belarus,2008,55924512.3
461,Belarus,2009,55969860.7
462,Belarus,2010,56732557.0
463,Belarus,2011,57492722.4
464,Belarus,2012,60081886.1
465,Belarus,2013,58381498.3
466,Belarus,2014,60397134.7
468,Belgium,1990,30756237.92
469,Belgium,1991,30985174.08
470,Belgium,1992,31250763.85
471,Belgium,1993,31189707.45
472,Belgium,1994,32754645.75
473,Belgium,1995,33496029.970000003
474,Belgium,1996,34430200.489999995
475,Belgium,1997,33545238.63
476,Belgium,1998,32964184.87
477,Belgium,1999,33291253.33
478,Belgium,2000,33784016.9
479,Belgium,2001,32520375.1
480,Belgium,2002,31789507.0
481,Belgium,2003,32769947.5
482,Belgium,2004,33072837.4
483,Belgium,2005,31851991.0
484,Belgium,2006,31738663.200000003
485,Belgium,2007,31661023.8
486,Belgium,2008,31787451.5
487,Belgium,2009,30648155.6
488,Belgium,2010,32453920.1
489,Belgium,2011,32350422.9
490,Belgium,2012,31895603.2
491,Belgium,2013,31574772.6
492,Belgium,2014,31772784.0
494,Belize,1990,9822426.1
495,Belize,1991,9843387.2
496,Belize,1992,9893743.4
497,Belize,1993,9906744.0
498,Belize,1994,9938235.7
499,Belize,1995,9933897.2
500,Belize,1996,8240863.9
501,Belize,1997,8047941.5
502,Belize,1998,8405121.100000001
503,Belize,1999,8344139.200000001
504,Belize,2000,8348057.600000001
505,Belize,2001,5486918.3
506,Belize,2002,7780695.1
507,Belize,2003,8265296.6
508,Belize,2004,5250195.0
509,Belize,2005,7509231.7
510,Belize,2006,4857032.3
511,Belize,2007,6978647.7
512,Belize,2008,5565178.399999999
513,Belize,2009,4173826.1
514,Belize,2010,6293979.2
515,Belize,2011,6941440.8
516,Belize,2012,3390456.6
517,Belize,2013,7499245.6
518,Belize,2014,3578648.0
520,Benin,1990,17635254.6
521,Benin,1991,17759602.2
522,Benin,1992,17837668.7
523,Benin,1993,17879544.200000003
524,Benin,1994,18162308.5
525,Benin,1995,17941811.6
526,Benin,1996,18896209.3
527,Benin,1997,18935389.6
528,Benin,1998,19681147.3
529,Benin,1999,19678160.4
530,Benin,2000,19564976.8
531,Benin,2001,14906196.9
532,Benin,2002,15099470.3
533,Benin,2003,15167443.6
534,Benin,2004,15380545.1
535,Benin,2005,15534689.1
536,Benin,2006,15772332.8
537,Benin,2007,15983746.1
538,Benin,2008,16105440.999999998
539,Benin,2009,16361277.5
540,Benin,2010,16472171.199999996
541,Benin,2011,16603913.9
542,Benin,2012,16838364.1
543,Benin,2013,17057176.599999998
544,Benin,2014,17054181.799999997
546,Bermuda,1990,44750.7
547,Bermuda,1991,43912.5
548,Bermuda,1992,39767.3
549,Bermuda,1993,40683.8
550,Bermuda,1994,41214.7
551,Bermuda,1995,41416.2
552,Bermuda,1996,44264.5
553,Bermuda,1997,44438.4
554,Bermuda,1998,51516.8
555,Bermuda,1999,62786.3
556,Bermuda,2000,60277.7
557,Bermuda,2001,56073.1
558,Bermuda,2002,57865.100000000006
559,Bermuda,2003,57735.5
560,Bermuda,2004,63754.59999999999
561,Bermuda,2005,59857.6
562,Bermuda,2006,56749.4
563,Bermuda,2007,70306.5
564,Bermuda,2008,56311.9
565,Bermuda,2009,65360.3
566,Bermuda,2010,66864.7
567,Bermuda,2011,65971.2
568,Bermuda,2012,100450.0
569,Bermuda,2013,65942.29999999999
570,Bermuda,2014,67483.0
572,Bhutan,1990,869365.7999999999
573,Bhutan,1991,889941.8
574,Bhutan,1992,845233.8
575,Bhutan,1993,824762.8
576,Bhutan,1994,819632.8
577,Bhutan,1995,895253.8
578,Bhutan,1996,850176.0
579,Bhutan,1997,841858.1000000001
580,Bhutan,1998,844675.4
581,Bhutan,1999,887674.3
582,Bhutan,2000,821403.4
583,Bhutan,2001,762952.3
584,Bhutan,2002,736562.3
585,Bhutan,2003,741445.8
586,Bhutan,2004,767241.1
587,Bhutan,2005,875812.0
588,Bhutan,2006,859129.2999999999
589,Bhutan,2007,962632.8
590,Bhutan,2008,784459.6
591,Bhutan,2009,835386.1
592,Bhutan,2010,923740.0
593,Bhutan,2011,885574.0
594,Bhutan,2012,1008526.6
595,Bhutan,2013,850710.3
596,Bhutan,2014,856784.4
598,Bolivia,1990,100852520.3
599,Bolivia,1991,101571159.6
600,Bolivia,1992,102157285.5
601,Bolivia,1993,103302997.6
602,Bolivia,1994,103731695.9
603,Bolivia,1995,102864680.2
604,Bolivia,1996,100557289.5
605,Bolivia,1997,101812508.4
606,Bolivia,1998,101714090.6
607,Bolivia,1999,107066081.7
608,Bolivia,2000,100256510.8
609,Bolivia,2001,99136149.3
610,Bolivia,2002,104848249.6
611,Bolivia,2003,101397204.8
612,Bolivia,2004,116150379.1
613,Bolivia,2005,111477582.3
614,Bolivia,2006,172658647.1
615,Bolivia,2007,181252482.4
616,Bolivia,2008,175492981.89999998
617,Bolivia,2009,173646998.4
618,Bolivia,2010,204534800.8
619,Bolivia,2011,122427952.1
620,Bolivia,2012,117167921.0
621,Bolivia,2013,116487365.0
622,Bolivia,2014,116451953.6
624,Bosnia and Herzegovina,1990,4099188.7
625,Bosnia and Herzegovina,1991,3958378.7
626,Bosnia and Herzegovina,1992,3871428.7
627,Bosnia and Herzegovina,1993,3869669.1
628,Bosnia and Herzegovina,1994,3338661.4
629,Bosnia and Herzegovina,1995,3111672.3
630,Bosnia and Herzegovina,1996,3023809.8
631,Bosnia and Herzegovina,1997,3517180.2
632,Bosnia and Herzegovina,1998,3990302.3
633,Bosnia and Herzegovina,1999,4216332.0
634,Bosnia and Herzegovina,2000,4440651.7
635,Bosnia and Herzegovina,2001,3311468.8000000003
636,Bosnia and Herzegovina,2002,3337683.4
637,Bosnia and Herzegovina,2003,3961770.2
638,Bosnia and Herzegovina,2004,3853427.0
639,Bosnia and Herzegovina,2005,3953249.2
640,Bosnia and Herzegovina,2006,4367199.600000001
641,Bosnia and Herzegovina,2007,4535132.7
642,Bosnia and Herzegovina,2008,4422376.800000001
643,Bosnia and Herzegovina,2009,4532779.1
644,Bosnia and Herzegovina,2010,4556222.899999999
645,Bosnia and Herzegovina,2011,5001521.5
646,Bosnia and Herzegovina,2012,4844005.0
647,Bosnia and Herzegovina,2013,4806677.7
648,Bosnia and Herzegovina,2014,4859416.5
650,Botswana,1990,66589571.9
651,Botswana,1991,65862726.6
652,Botswana,1992,65614052.5
653,Botswana,1993,65371009.400000006
654,Botswana,1994,65967109.1
655,Botswana,1995,67018195.70000001
656,Botswana,1996,79730808.9
657,Botswana,1997,90903958.9
658,Botswana,1998,100779311.6
659,Botswana,1999,86030428.0
660,Botswana,2000,74555828.19999999
661,Botswana,2001,59130815.3
662,Botswana,2002,148277297.9
663,Botswana,2003,99522943.4
664,Botswana,2004,41551085.7
665,Botswana,2005,87652219.1
666,Botswana,2006,48474155.9
667,Botswana,2007,91521402.1
668,Botswana,2008,45117800.0
669,Botswana,2009,39168357.5
670,Botswana,2010,34681018.4
671,Botswana,2011,36577498.7
672,Botswana,2012,36403850.1
673,Botswana,2013,68584052.5
674,Botswana,2014,37103381.7
676,Brazil,1990,1586312002.0
677,Brazil,1991,1610471155.0
678,Brazil,1992,1628896760.0
679,Brazil,1993,1646777949.0
680,Brazil,1994,1672419858.0
681,Brazil,1995,1695745257.0
682,Brazil,1996,1677151198.0
683,Brazil,1997,1689848829.0
684,Brazil,1998,1705824124.0
685,Brazil,1999,1706963576.0
686,Brazil,2000,1708530020.0
687,Brazil,2001,1925742684.0
688,Brazil,2002,1968884056.0
689,Brazil,2003,2008162849.0
690,Brazil,2004,2032447360.0
691,Brazil,2005,2043701587.0
692,Brazil,2006,1560438742.0
693,Brazil,2007,1576290826.0
694,Brazil,2008,1568351443.0
695,Brazil,2009,1574573126.0
696,Brazil,2010,1623713748.0
697,Brazil,2011,1270320674.0
698,Brazil,2012,1277994290.0
699,Brazil,2013,1282536765.0
700,Brazil,2014,1301284157.0
702,British Virgin Islands,1990,14485.2
703,British Virgin Islands,1991,14808.1
704,British Virgin Islands,1992,15162.6
705,British Virgin Islands,1993,15050.9
706,British Virgin Islands,1994,15272.4
707,British Virgin Islands,1995,15428.7
708,British Virgin Islands,1996,15795.7
709,British Virgin Islands,1997,15953.2
710,British Virgin Islands,1998,16764.399999999998
711,British Virgin Islands,1999,18052.5
712,British Virgin Islands,2000,17937.9
713,British Virgin Islands,2001,17367.5
714,British Virgin Islands,2002,17187.899999999998
715,British Virgin Islands,2003,17260.899999999998
716,British Virgin Islands,2004,18204.3
717,British Virgin Islands,2005,17919.3
718,British Virgin Islands,2006,13836.3
719,British Virgin Islands,2007,17937.9
720,British Virgin Islands,2008,18320.2
721,British Virgin Islands,2009,18672.1
722,British Virgin Islands,2010,19081.0
723,British Virgin Islands,2011,19104.7
724,British Virgin Islands,2012,26006.9
725,British Virgin Islands,2013,24953.5
726,British Virgin Islands,2014,28141.4
728,Brunei,1990,2249241.3
729,Brunei,1991,2370137.1
730,Brunei,1992,2386148.5
731,Brunei,1993,2354603.4
732,Brunei,1994,2412678.9
733,Brunei,1995,2455144.6
734,Brunei,1996,2636826.8000000003
735,Brunei,1997,2901557.5
736,Brunei,1998,6985435.2
737,Brunei,1999,2731177.8000000003
738,Brunei,2000,2841202.4
739,Brunei,2001,2935291.3
740,Brunei,2002,2807430.4
741,Brunei,2003,3058380.9
742,Brunei,2004,2880240.5
743,Brunei,2005,2941043.2
744,Brunei,2006,3199409.2
745,Brunei,2007,3225271.6
746,Brunei,2008,3408078.8000000003
747,Brunei,2009,3387233.4
748,Brunei,2010,3351578.1
749,Brunei,2011,2050238.4
750,Brunei,2012,2101895.3
751,Brunei,2013,2101932.2
752,Brunei,2014,2214642.6
754,Bulgaria,1990,29282107.6
755,Bulgaria,1991,24885617.6
756,Bulgaria,1992,22758324.3
757,Bulgaria,1993,20237228.3
758,Bulgaria,1994,19868826.6
759,Bulgaria,1995,19614702.6
760,Bulgaria,1996,19662152.0
761,Bulgaria,1997,18695807.9
762,Bulgaria,1998,17408508.6
763,Bulgaria,1999,17170550.5
764,Bulgaria,2000,17754740.2
765,Bulgaria,2001,18091262.3
766,Bulgaria,2002,17136596.099999998
767,Bulgaria,2003,17582604.1
768,Bulgaria,2004,18183128.8
769,Bulgaria,2005,18115582.3
770,Bulgaria,2006,17772639.0
771,Bulgaria,2007,18342120.1
772,Bulgaria,2008,17554182.099999998
773,Bulgaria,2009,16551593.0
774,Bulgaria,2010,16780305.5
775,Bulgaria,2011,14893712.9
776,Bulgaria,2012,14379985.9
777,Bulgaria,2013,14116695.1
778,Bulgaria,2014,14788267.2
780,Burkina Faso,1990,20292003.2
781,Burkina Faso,1991,20686199.6
782,Burkina Faso,1992,20940298.1
783,Burkina Faso,1993,21180796.3
784,Burkina Faso,1994,21419241.8
785,Burkina Faso,1995,21735391.9
786,Burkina Faso,1996,23070386.8
787,Burkina Faso,1997,23374233.2
788,Burkina Faso,1998,24174105.6
789,Burkina Faso,1999,24047539.700000003
790,Burkina Faso,2000,24438705.5
791,Burkina Faso,2001,23614045.3
792,Burkina Faso,2002,24115036.6
793,Burkina Faso,2003,27143809.8
794,Burkina Faso,2004,27768300.9
795,Burkina Faso,2005,28025271.1
796,Burkina Faso,2006,30019446.7
797,Burkina Faso,2007,30388020.6
798,Burkina Faso,2008,31037782.0
799,Burkina Faso,2009,31558302.7
800,Burkina Faso,2010,32117595.5
801,Burkina Faso,2011,32543886.700000003
802,Burkina Faso,2012,33090722.4
803,Burkina Faso,2013,33653095.9
804,Burkina Faso,2014,34117409.6
806,Burundi,1990,10900960.4
807,Burundi,1991,10919792.6
808,Burundi,1992,10928437.2
809,Burundi,1993,10885222.3
810,Burundi,1994,10720736.2
811,Burundi,1995,10892608.1
812,Burundi,1996,10292480.9
813,Burundi,1997,10461909.2
814,Burundi,1998,10563655.2
815,Burundi,1999,10349817.6
816,Burundi,2000,10562048.5
817,Burundi,2001,8778824.4
818,Burundi,2002,9746747.3
819,Burundi,2003,10070928.6
820,Burundi,2004,9338110.7
821,Burundi,2005,8781138.8
822,Burundi,2006,7664464.6
823,Burundi,2007,7271442.2
824,Burundi,2008,8022746.2
825,Burundi,2009,8476481.4
826,Burundi,2010,8619936.600000001
827,Burundi,2011,8493263.600000001
828,Burundi,2012,8282821.399999999
829,Burundi,2013,8966061.299999999
830,Burundi,2014,8624228.5
832,Cambodia,1990,46368748.0
833,Cambodia,1991,45621447.3
834,Cambodia,1992,45925909.4
835,Cambodia,1993,46859516.5
836,Cambodia,1994,44849850.0
837,Cambodia,1995,47715790.6
838,Cambodia,1996,44796846.8
839,Cambodia,1997,46262911.1
840,Cambodia,1998,49132629.5
841,Cambodia,1999,48311657.7
842,Cambodia,2000,46974194.3
843,Cambodia,2001,49029846.3
844,Cambodia,2002,49993736.400000006
845,Cambodia,2003,52225710.1
846,Cambodia,2004,53014743.3
847,Cambodia,2005,55219821.1
848,Cambodia,2006,48988763.7
849,Cambodia,2007,49915396.2
850,Cambodia,2008,49887189.3
851,Cambodia,2009,50198552.6
852,Cambodia,2010,50940005.900000006
853,Cambodia,2011,52810503.0
854,Cambodia,2012,51521442.5
855,Cambodia,2013,53589550.8
